jogador,time,posicao,Minutos,GA,SoTA,Saves,Saves%,Clean Sheet,Clean Sheet%,PSxG,PSxG+/-,Passes Att,Passes Launch%,Passes AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Nicola Leali,Genoa,GK,2610,31,111,82,74.8,10,34.5,34.3,6.3,722,39.3,33.9,390,21,5.4,14,0.48,11.2
Pierluigi Gollini,Genoa,GK,630,15,32,16,62.5,1,14.3,12.2,-2.8,198,24.7,30.4,92,2,2.2,2,0.29,9.6
Lorenzo Montipò,Hellas Verona,GK,3240,64,161,97,61.5,8,22.2,50.8,-12.2,760,59.9,43.6,498,30,6.0,23,0.64,11.6
Yann Sommer,Inter,GK,2970,32,116,84,75.0,13,39.4,31.7,0.7,1199,16.9,26.6,356,14,3.9,14,0.42,13.2
Michele Di Gregorio,Juventus,GK,2970,32,103,71,73.8,14,42.4,28.1,-3.9,848,30.0,31.4,469,29,6.2,30,0.91,13.1
Christos Mandas,Lazio,GK,810,7,27,20,74.1,4,44.4,7.9,0.9,308,36.4,35.9,130,20,15.4,22,2.44,16.8
Ivan Provedel,Lazio,GK,2610,42,92,52,58.7,5,17.2,31.5,-8.5,1009,30.8,33.3,366,29,7.9,32,1.1,14.5
Wladimiro Falcone,Lecce,GK,3420,58,181,125,72.4,9,23.7,53.8,-1.2,1017,51.9,39.1,590,29,4.9,19,0.5,11.0
Mike Maignan,Milan,GK,3294,41,136,97,70.6,12,32.4,36.8,-1.2,1355,17.4,27.8,447,26,5.8,68,1.86,18.7
Semuel Pizzignacco,Monza,GK,736,17,38,22,55.3,1,12.5,12.4,-3.6,273,33.7,31.4,119,4,3.4,7,0.86,12.8
Stefano Turati,Monza,GK,2676,52,145,93,65.5,2,6.7,47.4,-2.6,942,38.3,33.7,414,22,5.3,26,0.87,13.3
Alex Meret,Napoli,GK,3005,25,84,59,71.4,16,47.1,25.3,2.3,1041,15.4,27.7,378,21,5.6,47,1.41,16.5
Zion Suzuki,Parma,GK,3314,53,150,99,68.0,7,19.4,51.4,0.4,1272,41.4,37.5,614,64,10.4,38,1.03,12.1
Mile Svilar,Roma,GK,3420,35,151,117,79.5,16,42.1,42.5,8.5,1258,23.8,30.6,495,30,6.1,33,0.87,13.7
Vanja Milinković-Savić,Torino,GK,3330,42,173,129,77.5,10,27.0,51.4,11.4,1352,40.0,37.6,585,37,6.3,46,1.24,13.7
Maduka Okoye,Udinese,GK,2250,40,110,73,67.3,4,16.0,37.0,0.0,776,29.9,30.2,315,14,4.4,23,0.92,14.1
Razvan Sava,Udinese,GK,1080,16,51,37,74.5,4,33.3,14.5,0.5,337,33.2,32.2,202,4,2.0,13,1.08,14.8
Filip Stankovic,Venezia,GK,1367,23,83,60,77.1,0,0.0,25.2,3.2,439,29.4,31.6,249,12,4.8,13,0.86,10.8
Ionuț Radu,Venezia,GK,1350,18,65,47,76.9,4,26.7,19.2,1.2,470,47.7,40.2,215,13,6.0,3,0.2,9.1
Jesse Joronen,Venezia,GK,703,15,40,27,70.0,2,28.6,12.6,-0.4,260,28.1,31.0,125,6,4.8,5,0.64,9.4
