jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Borna Sosa,Torino,DF,1181,13,51,45.7,16,19,12,0,0,0,16,25,64.0,14,0,45.7% (16/19)
Cristiano Biraghi,Torino,DF,1158,24,36,42.1,8,11,9,0,0,0,11,18,61.1,8,0,42.1% (8/11)
Guillermo Maripán,Torino,DF,2340,14,96,60.5,72,47,29,4,1,0,21,33,63.6,41,1,60.5% (72/47)
Marcus Pedersen,Torino,DF,1362,44,19,24.0,6,19,16,3,0,0,10,16,62.5,13,1,24.0% (6/19)
Mërgim Vojvoda,Torino,DF,1105,18,64,44.4,8,10,13,4,0,0,7,14,50.0,7,1,44.4% (8/10)
Saúl Coco,Torino,DF,2845,17,70,51.7,62,58,53,10,0,0,19,30,63.3,38,4,51.7% (62/58)
Sebastian Walukiewicz,Torino,DF,1661,25,80,39.0,23,36,29,6,0,0,23,31,74.2,18,0,39.0% (23/36)
Christian Kabasele,Udinese,DF,1161,9,44,63.6,35,20,20,0,0,0,11,14,78.6,14,1,63.6% (35/20)
Hassane Kamara,Udinese,DF,2001,52,61,65.6,21,11,25,8,1,1,16,28,57.1,26,1,65.6% (21/11)
Jaka Bijol,Udinese,DF,2963,22,98,67.7,109,52,49,13,1,1,21,40,52.5,38,1,67.7% (109/52)
Jordan Zemura,Udinese,DF,1415,25,42,30.0,6,14,22,2,0,0,17,29,58.6,16,0,30.0% (6/14)
Kingsley Ehizibue,Udinese,DF,2498,54,55,46.8,29,33,33,5,0,0,25,41,61.0,23,5,46.8% (29/33)
Lautaro Gianetti,Udinese,DF,878,0,19,71.4,30,12,7,4,0,0,14,20,70.0,15,1,71.4% (30/12)
Oumar Solet,Udinese,DF,1672,20,65,50.0,20,20,17,3,1,1,21,30,70.0,17,4,50.0% (20/20)
Souleymane Touré,Udinese,DF,733,6,26,58.3,7,5,15,2,2,0,4,5,80.0,9,1,58.3% (7/5)
Thomas Kristensen,Udinese,DF,1754,19,76,65.6,61,32,31,5,0,0,20,32,62.5,21,2,65.6% (61/32)
Alessio Zerbin,Venezia,DF,1518,53,54,45.5,10,12,36,4,0,0,29,52,55.8,15,1,45.5% (10/12)
Antonio Candela,Venezia,DF,1008,12,27,51.9,14,13,14,2,0,0,18,26,69.2,8,2,51.9% (14/13)
Fali Candé,Venezia,DF,1530,5,47,47.4,37,41,24,4,0,0,16,23,69.6,15,2,47.4% (37/41)
Francesco Zampano,Venezia,DF,1639,42,41,35.7,10,18,24,5,0,0,14,31,45.2,6,2,35.7% (10/18)
Giorgio Altare,Venezia,DF,753,4,20,52.8,19,17,10,2,0,0,8,15,53.3,17,0,52.8% (19/17)
Jay Idzes,Venezia,DF,3127,15,84,41.3,57,81,50,5,0,0,17,33,51.5,32,0,41.3% (57/81)
Joël Schingtienne,Venezia,DF,1122,5,28,22.2,4,14,7,2,0,0,12,19,63.2,14,5,22.2% (4/14)
Marin Šverko,Venezia,DF,1117,8,38,50.0,20,20,9,3,0,0,10,12,83.3,16,3,50.0% (20/20)
Michael Svoboda,Venezia,DF,1314,13,43,55.6,35,28,7,1,0,0,8,19,42.1,22,2,55.6% (35/28)
Ridgeciano Haps,Venezia,DF,1369,26,52,43.8,14,18,14,3,0,0,14,22,63.6,7,0,43.8% (14/18)
