jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Christantus Uche,Getafe,"FW,MF",21,2486,4,6,3.8,2.9,6.7,43,49,22,68,29,37,16,4,91,32,26,18,148
Coba da Costa,Getafe,"MF,FW",22,1006,1,1,1.1,1.4,2.6,46,16,41,10,9,14,10,7,56,19,23,25,83
Juanmi,Getafe,"FW,MF",31,696,0,0,2.9,0.3,3.2,6,8,0,10,4,3,4,0,10,4,5,1,28
Luis Milla,Getafe,MF,29,2875,0,4,1.8,3.9,4.9,32,152,201,48,70,149,26,10,39,21,37,4,30
Mauro Arambarri,Getafe,MF,28,2661,7,0,8.2,0.6,6.5,17,75,14,52,17,74,4,1,34,18,8,3,55
Ramón Terrats,Getafe,"MF,FW",23,1219,4,1,2.2,2.5,4.7,8,36,35,22,16,29,9,3,50,25,10,4,37
Álvaro Rodríguez,Getafe,FW,20,852,2,0,1.2,0.3,1.5,6,13,5,19,5,15,2,1,33,16,13,2,50
Abel Ruiz,Girona,FW,24,1346,3,0,4.6,0.5,3.5,21,23,4,13,8,14,5,0,20,7,12,10,71
Arnaut Danjuma,Girona,"FW,MF",27,1335,2,0,3.6,1.7,5.3,91,41,76,16,22,17,24,8,67,24,42,38,185
Arthur Melo,Girona,MF,27,941,0,0,0.2,0.2,0.4,24,70,7,27,5,70,4,1,14,8,18,0,17
Bojan Miovski,Girona,FW,25,869,2,1,2.7,0.2,2.9,4,4,3,11,4,2,1,1,7,3,1,4,33
Bryan Gil,Girona,"FW,MF",23,1721,3,3,2.3,2.9,5.2,76,74,78,40,21,27,33,7,104,41,43,34,210
Cristhian Stuani,Girona,FW,37,1078,8,2,8.1,0.6,6.5,2,10,2,7,6,1,3,0,5,2,0,2,36
Donny van de Beek,Girona,MF,27,1421,2,2,1.5,3.2,4.7,17,45,11,8,18,21,11,0,13,6,15,2,85
Iván Martín,Girona,MF,25,2039,1,1,1.8,1.9,3.6,57,131,21,14,22,101,15,3,47,25,55,1,76
Oriol Romeu,Girona,MF,32,1356,0,0,0.1,0.3,0.4,22,73,8,18,8,81,2,1,8,4,16,1,8
Portu,Girona,"FW,MF",32,779,1,2,1.6,1.7,3.3,20,16,26,10,14,12,7,3,10,4,15,4,79
Viktor Tsyhankov,Girona,"FW,MF",26,1913,2,5,2.8,3.9,6.7,62,65,124,28,33,38,24,6,35,15,46,27,195
Yangel Herrera,Girona,MF,26,2257,4,3,3.6,1.5,5.1,31,110,44,68,17,97,13,3,47,19,35,3,99
Yaser Asprilla,Girona,"FW,MF",20,1405,3,1,2.1,2.8,4.9,72,77,93,23,24,35,38,9,64,29,37,29,140
Alberto Moleiro,Las Palmas,"FW,MF",20,2714,6,1,5.6,3.3,8.9,97,116,32,40,41,75,29,5,150,64,71,28,179
Dario Essugo,Las Palmas,MF,19,1938,1,0,0.7,0.4,1.0,18,76,1,30,13,73,8,0,18,12,21,2,8
Enzo Loiodice,Las Palmas,MF,23,684,0,0,0.3,0.2,0.4,3,31,10,6,5,30,1,0,13,4,6,1,3
Fábio Silva,Las Palmas,FW,22,1866,8,3,8.8,2.0,8.4,30,26,21,43,16,13,14,3,53,21,11,21,119
Jaime Mata,Las Palmas,"FW,MF",35,656,0,0,2.6,0.1,2.8,6,10,9,14,3,8,3,1,9,5,3,2,48
José Campaña,Las Palmas,MF,31,1189,0,3,0.1,0.9,1.1,11,87,34,20,14,72,12,4,18,8,12,1,15
Kirian Rodríguez,Las Palmas,MF,28,1758,0,3,1.6,1.5,3.0,25,128,18,18,16,106,14,1,16,11,24,0,39
Manuel Fuster,Las Palmas,"FW,MF",26,1003,2,1,0.7,1.8,2.5,23,71,67,37,28,56,24,5,17,5,15,3,75
Oliver McBurnie,Las Palmas,FW,28,1837,3,6,4.8,2.8,7.6,7,27,2,19,24,23,7,1,34,16,4,7,75
Sandro Ramírez,Las Palmas,"FW,MF",29,2034,8,3,4.1,3.4,6.7,52,52,122,43,28,33,10,3,47,16,21,24,121
Dani Raba,Leganés,"FW,MF",28,1879,4,6,7.5,5.3,8.9,42,69,90,56,47,50,24,4,91,46,42,10,101
Darko Brašanac,Leganés,MF,32,1617,1,2,1.8,0.4,2.2,6,43,11,13,9,28,2,0,7,2,12,1,53
Diego,Leganés,FW,24,1195,3,0,3.8,0.2,4.0,9,16,5,23,6,8,3,1,10,4,11,5,49
Juan Cruz,Leganés,"FW,MF",24,2257,5,4,2.7,4.1,6.9,59,66,92,23,24,34,32,14,78,40,43,21,131
Miguel,Leganés,FW,24,1724,0,3,4.9,1.4,4.8,14,16,9,30,7,9,5,1,36,8,17,9,90
Munir El Haddadi,Leganés,"FW,MF",28,862,4,0,1.6,0.8,2.3,11,29,13,39,8,19,6,1,21,7,9,1,42
Seydouba Cissé,Leganés,MF,23,2435,3,1,3.0,1.0,4.0,26,110,10,25,17,86,15,1,45,30,34,3,42
Yvan Neyou,Leganés,MF,27,2312,1,1,0.6,0.6,1.3,24,96,15,50,13,86,10,1,42,19,26,1,30
Óscar Rodríguez Arnaiz,Leganés,"MF,FW",26,1330,1,4,2.1,2.2,4.3,24,60,55,25,19,31,21,7,52,21,24,8,66
Cyle Larin,Mallorca,FW,29,1764,6,2,6.9,1.4,7.5,20,20,6,31,8,11,3,0,30,8,18,9,95
Dani Rodríguez,Mallorca,"MF,FW",36,2162,4,7,2.8,3.1,6.0,37,78,116,40,33,42,17,6,34,16,38,5,108
Manu Morlanes,Mallorca,MF,25,1338,0,0,0.6,0.3,0.9,16,88,8,13,10,84,10,3,8,3,23,0,39
Omar Mascarell,Mallorca,MF,31,1992,1,0,0.5,0.2,0.7,10,75,5,13,3,72,3,0,15,10,13,1,12
Roberto Navarro,Mallorca,"MF,FW",22,1278,1,0,2.0,1.9,3.9,45,51,29,21,13,27,14,3,67,35,46,10,85
Samu Costa,Mallorca,MF,23,2649,0,2,1.8,1.2,3.0,24,116,20,63,15,117,14,5,33,13,18,1,69
Sergi Darder,Mallorca,"MF,FW",30,2744,2,6,2.1,3.7,5.8,37,142,163,37,54,122,33,15,74,34,58,7,83
Takuma Asano,Mallorca,"FW,MF",29,1054,2,1,2.7,0.7,3.4,28,20,20,15,6,8,3,2,25,6,12,12,76
Vedat Muriqi,Mallorca,FW,30,2058,5,2,9.7,2.2,9.5,23,30,10,41,26,23,6,0,26,9,12,10,103
Aimar Oroz,Osasuna,MF,22,2966,4,4,4.2,2.9,6.5,74,163,29,64,41,91,36,5,101,49,73,17,142
Ante Budimir,Osasuna,FW,33,2952,13,4,18.3,1.7,13.9,23,24,6,35,16,12,7,0,43,10,15,8,134
Bryan Zaragoza,Osasuna,"FW,MF",23,1836,1,6,2.7,3.2,5.9,105,50,104,39,36,23,34,20,131,57,62,51,140
Iker Muñoz,Osasuna,MF,21,610,0,1,0.5,1.0,1.4,6,24,7,14,6,30,6,2,4,2,3,0,10
Jon Moncayola,Osasuna,MF,26,2099,0,0,1.6,3.7,5.3,25,107,107,9,33,76,25,13,12,4,15,6,51
Lucas Torró,Osasuna,MF,30,2957,3,0,2.3,1.2,3.5,10,109,1,37,10,114,5,0,9,6,14,0,30
Moi Gómez,Osasuna,"MF,FW",30,796,0,0,0.5,0.8,1.2,13,49,28,6,11,46,13,9,26,14,10,1,16
Pablo Ibáñez,Osasuna,MF,25,1294,1,1,1.6,1.6,3.2,21,51,13,29,6,35,4,2,27,13,20,3,31
Raúl,Osasuna,"FW,MF",23,750,4,0,3.5,0.7,4.1,10,16,6,12,3,11,1,0,20,11,11,4,49
Rubén García,Osasuna,"FW,MF",31,2413,5,5,3.2,3.6,6.8,37,112,136,31,49,77,31,16,36,12,46,13,157
Adri Embarba,Rayo Vallecano,"FW,MF",32,1607,1,1,2.1,2.7,4.8,47,45,114,21,20,23,17,10,56,20,33,12,114
Gerard Gumbau,Rayo Vallecano,MF,29,849,0,1,1.1,1.3,2.4,2,41,38,11,17,37,3,1,4,2,9,0,21
Isaac Palazón Camacho,Rayo Vallecano,"MF,FW",29,2162,4,4,4.7,4.4,9.2,30,117,111,53,48,77,19,4,66,25,29,7,123
Jorge de Frutos,Rayo Vallecano,"FW,MF",27,2495,6,3,6.3,3.4,9.8,77,44,69,33,31,22,28,13,104,32,50,28,201
Pedro Díaz,Rayo Vallecano,MF,26,1211,3,0,2.4,2.1,3.7,27,62,42,6,26,45,17,2,34,20,30,2,49
Randy Nteka,Rayo Vallecano,FW,26,1129,3,0,2.6,0.5,3.1,10,8,4,15,9,5,2,0,15,5,3,5,44
Sergio Camello,Rayo Vallecano,FW,23,1134,3,2,4.1,2.0,6.1,20,27,6,10,19,12,7,0,23,13,16,8,68
Unai López,Rayo Vallecano,MF,28,1707,3,1,1.6,1.0,2.6,22,112,33,21,19,106,11,2,23,15,23,3,40
Álvaro García,Rayo Vallecano,"FW,MF",31,2559,4,5,7.6,5.0,12.6,68,71,109,19,50,27,44,18,27,10,28,25,245
Óscar Valentín,Rayo Vallecano,MF,29,1835,0,0,0.4,0.9,1.3,13,86,2,31,13,74,6,1,11,5,13,1,8
Arda Güler,Real Madrid,"MF,FW",19,1250,3,4,3.3,4.5,7.7,34,93,57,31,40,82,31,5,45,20,33,10,86
Brahim Díaz,Real Madrid,"FW,MF",24,1385,4,2,5.3,3.3,8.6,39,74,8,34,23,56,19,0,47,24,16,12,110
Dani Ceballos,Real Madrid,MF,27,1215,0,0,0.4,1.6,2.0,42,150,14,30,22,156,10,0,15,8,30,2,17
Jude Bellingham,Real Madrid,MF,21,2488,8,8,11.4,3.9,13.7,74,199,18,64,42,130,31,0,75,41,61,14,143
Kylian Mbappé,Real Madrid,FW,25,2907,24,3,25.9,7.7,26.3,150,140,35,40,51,75,52,3,187,83,95,96,386
Luka Modrić,Real Madrid,MF,38,1827,2,6,1.6,7.0,8.5,62,208,112,19,66,225,34,2,24,14,58,13,63
Rodrygo,Real Madrid,"FW,MF",23,1928,6,5,4.0,3.0,6.9,113,108,81,37,49,66,26,2,111,49,87,50,253
Vinicius Júnior,Real Madrid,FW,24,2253,9,8,10.4,8.0,16.2,169,85,56,70,58,53,36,6,191,82,87,106,256
Ander Barrenetxea,Real Sociedad,"MF,FW",22,1263,1,3,1.6,1.9,3.6,43,48,54,13,16,23,22,4,69,26,26,19,152
Beñat Turrientes,Real Sociedad,MF,22,942,0,0,0.6,0.2,0.7,18,42,19,23,3,40,2,1,24,13,17,1,28
Brais Méndez,Real Sociedad,MF,27,1531,3,2,3.5,2.0,5.5,32,91,52,45,23,68,13,3,50,14,17,8,86
Luka Sučić,Real Sociedad,MF,21,1792,1,1,3.3,2.6,5.9,30,79,18,15,25,52,13,2,53,25,34,5,56
Martín Zubimendi,Real Sociedad,MF,25,2962,2,1,2.6,1.1,3.7,38,195,12,19,19,172,23,1,28,19,34,5,43
Mikel Oyarzabal,Real Sociedad,FW,27,2250,5,3,9.9,2.4,9.2,31,28,10,22,15,19,10,3,20,9,18,16,133
Olasagasti,Real Sociedad,MF,23,857,1,1,0.9,0.8,1.7,11,38,10,7,6,34,8,0,13,3,16,2,41
Orri Steinn Óskarsson,Real Sociedad,FW,19,944,3,0,5.2,0.2,5.4,6,9,7,6,5,4,3,1,8,2,2,5,50
Pablo Marín,Real Sociedad,MF,21,1239,1,2,1.4,1.0,2.4,20,45,12,16,14,38,9,2,35,20,20,6,47
Sheraldo Becker,Real Sociedad,"FW,MF",29,995,2,1,2.0,2.0,4.0,51,23,64,15,8,6,17,5,11,4,16,14,110
Takefusa Kubo,Real Sociedad,"MF,FW",23,2372,5,0,3.6,4.5,8.0,133,110,85,73,45,59,45,11,157,75,63,57,218
Albert Sambi Lokonga,Sevilla,MF,24,1471,0,2,0.9,1.0,1.9,24,93,2,21,19,81,8,0,10,4,14,1,20
Chidera Ejuke,Sevilla,FW,26,966,2,1,1.1,1.9,3.0,75,38,22,16,21,18,20,5,85,47,35,26,101
Djibril Sow,Sevilla,MF,27,2062,2,1,2.4,1.6,4.0,23,100,9,41,21,87,10,1,25,10,16,3,50
Dodi Lukebakio,Sevilla,FW,26,3092,10,2,10.1,4.5,13.8,131,93,124,55,54,50,24,6,167,84,83,65,247
Isaac Romero,Sevilla,FW,24,2156,4,2,6.8,2.1,8.1,21,29,18,37,20,20,11,4,65,21,10,14,95
Lucien Agoume,Sevilla,MF,22,2114,1,3,0.9,2.5,3.3,29,135,18,6,27,126,19,3,30,22,23,2,23
Peque,Sevilla,"MF,FW",21,1134,1,1,2.5,1.2,3.7,14,35,10,26,12,25,6,1,26,11,12,1,44
Ruben Vargas,Sevilla,"FW,MF",25,671,2,1,2.0,0.8,2.7,29,14,37,9,13,11,9,5,33,12,15,11,63
