jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Jens Cajuste,Ipswich Town,MF,24,1959,1,1,0.7,0.8,1.5,26,59,10,22,13,51,6,1,53,28,23,3,20
Julio Enciso,Ipswich Town,"MF,FW",20,869,2,3,1.7,1.4,3.1,23,28,21,21,13,18,8,1,66,30,25,9,44
Kalvin Phillips,Ipswich Town,MF,28,1237,0,0,0.4,0.2,0.7,4,51,20,20,5,49,6,1,12,5,5,0,4
Liam Delap,Ipswich Town,FW,21,2593,10,2,9.3,1.9,9.7,61,30,5,51,21,17,6,0,86,40,46,30,110
Nathan Broadhead,Ipswich Town,"MF,FW",26,702,2,0,1.7,0.7,2.4,20,14,9,13,7,12,6,0,34,17,16,5,33
Omari Hutchinson,Ipswich Town,"MF,FW",20,2583,3,2,2.9,3.5,6.4,97,75,81,46,31,45,27,15,137,51,39,37,159
Sam Morsy,Ipswich Town,MF,32,2751,1,1,0.4,1.2,1.6,22,120,15,27,24,149,17,4,29,17,24,3,13
Sammie Szmodics,Ipswich Town,"FW,MF",28,992,4,0,3.4,0.2,3.6,16,19,14,8,5,11,4,1,12,4,8,7,47
Bilal El Khannouss,Leicester City,"MF,FW",20,2182,2,3,1.3,4.6,5.8,73,128,89,13,42,89,31,6,60,34,45,12,89
Bobby De Cordova-Reid,Leicester City,FW,31,744,1,2,0.8,1.2,2.0,14,15,15,9,6,9,5,0,10,0,5,6,48
Boubakary Soumaré,Leicester City,MF,25,2171,0,0,0.3,0.4,0.7,34,105,10,23,11,95,16,3,45,27,19,4,23
Facundo Buonanotte,Leicester City,"FW,MF",19,1523,5,2,3.9,3.1,7.0,39,54,43,35,24,41,13,2,83,28,26,9,74
Harry Winks,Leicester City,MF,28,1538,0,2,0.2,1.2,1.5,19,101,34,13,17,110,7,5,12,3,13,0,11
Jamie Vardy,Leicester City,FW,37,2823,8,4,11.2,3.0,12.6,29,22,11,23,19,11,10,1,23,11,13,16,120
Jordan Ayew,Leicester City,"FW,MF",32,1638,4,0,3.2,1.1,3.5,49,46,60,59,16,25,14,7,64,26,37,11,86
Kasey McAteer,Leicester City,FW,22,852,1,1,1.0,0.7,1.7,19,14,21,15,9,13,6,2,25,6,11,9,71
Oliver Skipp,Leicester City,MF,23,1129,0,0,0.4,0.3,0.6,16,35,5,13,9,32,4,0,12,7,7,3,19
Patson Daka,Leicester City,"FW,MF",25,736,1,0,1.3,0.1,1.3,11,8,3,19,1,6,1,0,15,2,7,6,36
Stephy Mavididi,Leicester City,FW,26,1615,4,1,1.8,2.6,4.4,91,57,69,18,22,32,26,7,95,35,40,27,138
Wilfred Ndidi,Leicester City,MF,27,2324,0,5,2.0,1.9,3.9,18,70,30,18,17,68,11,3,33,13,23,2,75
Alexis Mac Allister,Liverpool,MF,25,2599,5,5,2.8,4.7,7.5,36,177,86,40,45,122,35,2,42,16,43,5,80
Cody Gakpo,Liverpool,FW,25,1935,10,4,7.1,4.4,11.5,59,52,74,31,38,24,27,8,61,31,34,28,278
Darwin Núñez,Liverpool,FW,25,1133,5,2,5.8,1.3,7.1,23,27,3,14,11,9,3,1,23,8,19,12,78
Diogo Jota,Liverpool,FW,27,1196,6,3,7.9,1.8,9.8,37,34,8,14,11,29,3,1,33,11,23,21,88
Dominik Szoboszlai,Liverpool,MF,23,2491,6,6,7.3,7.4,14.7,72,131,41,24,56,88,33,5,41,21,49,18,127
Luis Díaz,Liverpool,FW,27,2399,13,5,12.0,5.0,17.1,108,110,32,31,56,48,46,6,116,53,55,56,293
Mohamed Salah,Liverpool,FW,32,3371,20,18,25.2,14.2,32.4,154,144,79,39,88,53,93,15,137,58,59,126,488
Ryan Gravenberch,Liverpool,MF,22,3160,0,4,1.1,3.1,4.2,70,181,7,52,26,151,35,2,81,37,75,10,55
Bernardo Silva,Manchester City,"MF,FW",29,2670,4,4,3.9,5.1,9.0,101,134,60,32,53,87,40,7,61,28,65,32,200
Erling Haaland,Manchester City,FW,24,2736,19,3,22.0,3.0,21.8,24,20,3,13,29,10,8,1,36,13,15,23,124
Jack Grealish,Manchester City,"FW,MF",28,721,1,1,1.1,1.8,3.0,69,52,20,25,24,23,16,0,29,13,23,46,118
Jeremy Doku,Manchester City,"FW,MF",22,1516,3,6,1.3,4.8,6.1,213,69,59,33,32,12,48,6,201,107,95,109,286
Kevin De Bruyne,Manchester City,"MF,FW",33,1702,4,7,5.1,8.0,13.1,51,157,145,18,57,88,59,13,34,13,51,20,150
Mateo Kovačić,Manchester City,MF,30,2198,6,2,1.9,3.6,5.5,56,164,0,26,33,206,30,0,41,22,78,3,16
Nicolás González,Manchester City,MF,22,760,1,0,0.5,0.1,0.5,9,50,1,5,1,52,4,0,6,1,12,3,11
Omar Marmoush,Manchester City,"FW,MF",25,1175,7,0,5.5,2.8,8.3,29,37,28,20,15,10,29,4,46,20,20,15,78
Phil Foden,Manchester City,"MF,FW",24,1777,7,2,5.2,4.8,9.9,50,103,80,34,43,41,39,6,43,14,30,17,128
Sávio,Manchester City,"FW,MF",20,1766,1,8,5.0,6.9,11.9,137,67,84,28,46,19,47,8,113,52,45,75,246
İlkay Gündoğan,Manchester City,MF,33,2223,1,6,3.2,3.5,6.7,64,127,60,27,44,108,23,2,41,17,57,11,96
Alejandro Garnacho,Manchester Utd,"MF,FW",20,2199,6,2,7.3,4.5,11.8,141,56,56,43,37,22,25,5,89,26,72,67,290
Amad Diallo,Manchester Utd,"MF,FW",22,1901,8,6,4.7,4.9,9.6,109,60,42,28,49,27,35,7,88,41,53,66,200
Bruno Fernandes,Manchester Utd,MF,29,3018,5,10,9.9,8.5,16.1,77,325,186,40,91,214,85,11,67,28,65,14,129
Casemiro,Manchester Utd,MF,32,1494,1,0,1.9,2.3,4.2,4,84,20,19,22,81,23,6,6,3,10,0,28
Christian Eriksen,Manchester Utd,MF,32,1061,0,2,1.4,3.2,3.8,13,55,85,3,31,54,13,6,4,0,14,1,29
Joshua Zirkzee,Manchester Utd,"FW,MF",23,1402,3,1,4.8,1.5,6.3,14,44,4,13,12,26,6,0,35,11,21,4,69
Kobbie Mainoo,Manchester Utd,MF,19,1651,0,0,0.7,1.6,2.3,22,65,7,21,14,50,12,1,50,23,17,10,47
Manuel Ugarte Ribeiro,Manchester Utd,MF,23,1785,1,2,1.0,1.1,2.1,16,61,7,33,10,59,9,3,32,18,16,1,20
Marcus Rashford,Manchester Utd,"FW,MF",26,978,4,1,1.7,2.1,3.8,20,21,27,7,15,13,16,8,39,9,19,12,79
Mason Mount,Manchester Utd,MF,25,622,1,0,3.2,0.6,3.8,15,33,13,9,8,19,8,2,10,1,11,2,41
Rasmus Højlund,Manchester Utd,FW,21,2004,4,0,5.3,1.8,7.1,28,18,8,28,16,14,5,1,33,9,13,17,101
Alexander Isak,Newcastle Utd,FW,24,2756,19,6,20.3,4.3,21.6,83,88,16,14,41,35,31,1,91,42,42,43,217
Anthony Gordon,Newcastle Utd,"FW,MF",23,2434,5,5,8.0,5.0,11.4,121,98,131,71,51,65,55,17,103,38,62,56,214
Bruno Guimarães,Newcastle Utd,MF,26,3271,5,6,4.3,6.1,10.4,64,271,28,108,52,180,77,6,78,34,46,15,96
Harvey Barnes,Newcastle Utd,FW,26,1755,9,4,7.2,4.0,11.2,93,83,47,22,26,25,41,9,64,24,48,47,192
Jacob Murphy,Newcastle Utd,FW,29,2360,8,12,5.7,8.9,14.6,79,83,120,15,42,58,41,15,69,35,40,27,231
Joe Willock,Newcastle Utd,"MF,FW",24,1086,0,2,1.6,2.1,3.8,38,41,18,13,22,28,8,0,35,12,28,16,86
Joelinton,Newcastle Utd,"MF,FW",27,2393,4,3,3.9,2.5,6.4,40,116,16,35,23,80,17,2,46,15,26,9,110
Sandro Tonali,Newcastle Utd,MF,24,2630,4,2,4.4,2.2,6.6,37,128,54,49,28,104,30,5,37,20,40,6,53
Sean Longstaff,Newcastle Utd,MF,26,798,0,0,0.6,0.2,0.8,4,40,5,6,4,26,1,0,7,2,10,2,22
Anthony Elanga,Nott'ham Forest,"FW,MF",22,2501,6,11,4.5,5.7,10.1,102,63,185,47,50,32,26,8,83,25,45,48,229
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",23,2194,5,2,2.5,2.7,5.2,130,71,79,25,44,38,33,11,63,37,61,47,189
Chris Wood,Nott'ham Forest,FW,32,2959,17,3,13.4,2.6,13.6,14,42,1,24,22,19,12,1,13,4,11,5,94
Elliot Anderson,Nott'ham Forest,MF,21,2728,2,6,2.1,3.3,5.4,52,143,86,58,37,121,19,2,75,36,32,21,94
Jota Silva,Nott'ham Forest,"FW,MF",24,854,3,1,2.1,2.9,5.0,21,18,21,23,14,4,9,3,34,10,13,9,59
Morgan Gibbs-White,Nott'ham Forest,MF,24,2803,7,8,6.3,5.0,11.2,69,164,45,40,51,128,41,10,77,31,52,13,137
Nicolás Domínguez,Nott'ham Forest,"MF,FW",26,1963,0,1,1.5,1.3,2.8,16,83,7,18,13,81,11,1,9,3,14,2,33
Ryan Yates,Nott'ham Forest,MF,26,1915,2,1,2.3,1.2,3.5,18,53,8,49,18,48,4,0,18,9,19,1,16
Adam Armstrong,Southampton,"FW,MF",27,1248,2,2,3.3,1.2,3.5,25,21,14,5,9,10,8,2,14,6,13,6,79
Cameron Archer,Southampton,FW,23,1441,2,0,5.7,0.5,5.4,22,14,3,13,5,7,7,0,37,15,10,14,66
Flynn Downes,Southampton,MF,25,2151,1,0,0.6,1.1,1.7,29,66,4,39,15,62,12,0,20,8,21,4,29
Kamaldeen Sulemana,Southampton,"FW,MF",22,1402,1,1,1.5,1.0,2.5,63,27,26,11,10,6,13,7,103,39,37,28,87
Lesley Ugochukwu,Southampton,MF,20,1655,1,1,0.9,1.0,1.9,29,49,6,16,14,54,7,1,28,19,15,6,20
Mateus Fernandes,Southampton,MF,20,2909,2,4,4.0,3.0,7.0,76,145,113,55,34,98,27,6,109,49,70,9,108
Paul Onuachu,Southampton,FW,30,1050,4,1,3.6,0.5,4.1,7,13,0,16,8,13,2,0,26,8,5,2,40
Tyler Dibling,Southampton,"FW,MF",18,1874,2,0,2.5,1.5,4.1,69,64,28,50,20,27,20,1,110,45,50,26,96
William Smallbone,Southampton,MF,24,690,1,0,0.6,0.7,1.3,5,27,36,3,10,13,4,3,6,4,9,1,25
Brennan Johnson,Tottenham,FW,23,2177,11,3,10.4,2.3,12.7,60,71,53,26,19,25,35,6,44,19,23,35,197
Dejan Kulusevski,Tottenham,"MF,FW",24,2389,7,4,4.2,6.2,10.4,120,124,89,38,65,62,52,6,117,38,67,40,210
Dominic Solanke,Tottenham,FW,26,2201,8,3,10.9,2.9,13.1,31,47,4,36,14,28,9,0,51,17,23,14,88
James Maddison,Tottenham,MF,27,1809,9,7,5.8,4.2,10.0,45,164,98,64,41,123,32,5,77,33,39,20,95
Lucas Bergvall,Tottenham,MF,18,1212,0,1,0.7,0.6,1.3,33,49,21,17,11,53,7,3,45,21,21,4,31
Mathys Tel,Tottenham,FW,19,911,1,1,3.0,2.5,4.7,28,21,35,16,14,12,14,4,52,15,24,11,72
Pape Matar Sarr,Tottenham,MF,21,1913,3,2,3.7,1.6,5.3,33,88,14,35,15,85,12,2,30,11,37,5,53
Rodrigo Bentancur,Tottenham,MF,27,1645,2,0,1.3,0.4,1.7,28,100,4,10,10,109,13,2,19,9,24,5,34
Son Heung-min,Tottenham,FW,32,2110,6,9,7.2,8.2,13.8,96,111,79,28,50,41,51,6,83,29,49,44,265
Wilson Odobert,Tottenham,"FW,MF",19,850,1,0,1.6,1.0,2.6,45,27,25,3,6,11,12,3,32,12,25,18,66
Yves Bissouma,Tottenham,MF,27,1408,2,0,0.6,0.3,0.9,15,75,2,18,6,61,10,1,21,7,17,0,3
Carlos Soler,West Ham,"MF,FW",27,1409,1,1,1.8,1.4,3.2,17,56,34,19,18,43,13,0,18,8,17,4,37
Crysencio Summerville,West Ham,"FW,MF",22,786,1,1,1.6,1.7,3.3,29,18,21,23,17,13,12,5,39,13,15,13,71
Edson Álvarez,West Ham,MF,26,1772,0,1,0.4,0.8,1.2,24,85,6,18,12,92,12,3,33,14,22,2,18
Guido Rodríguez,West Ham,MF,30,1149,0,1,0.2,0.2,0.4,4,33,5,12,4,37,1,0,6,3,5,2,7
James Ward-Prowse,West Ham,MF,29,1039,1,1,1.6,1.9,3.6,11,54,49,4,20,76,5,2,5,2,16,0,9
Jarrod Bowen,West Ham,"FW,MF",27,2973,12,8,8.6,6.8,14.7,109,91,106,51,51,41,46,8,130,44,46,61,212
Lucas Paquetá,West Ham,"MF,FW",26,2380,2,0,5.3,3.1,6.8,26,155,29,62,36,132,44,4,47,21,34,2,85
Michail Antonio,West Ham,FW,34,836,1,1,2.2,1.6,3.8,29,18,25,7,9,11,6,2,27,9,13,9,59
Mohammed Kudus,West Ham,"FW,MF",23,2590,5,3,6.9,3.1,10.0,98,79,81,64,31,46,29,15,208,92,59,42,216
Niclas Füllkrug,West Ham,FW,31,790,3,2,2.2,1.9,4.1,7,14,1,6,14,12,5,0,8,1,4,2,31
Tomáš Souček,West Ham,MF,29,2567,9,1,6.7,1.0,7.8,9,74,14,25,14,62,8,1,12,6,12,3,68
André,Wolves,MF,23,2472,0,0,0.4,0.8,1.3,10,109,0,34,18,111,5,0,32,16,17,0,11
Gonçalo Guedes,Wolves,"MF,FW",27,995,2,4,3.2,1.3,4.5,41,40,22,17,14,18,17,5,28,9,27,8,79
Hwang Hee-chan,Wolves,"MF,FW",28,661,2,0,0.8,0.1,0.9,15,12,8,9,3,7,4,2,14,2,5,7,42
Jean-Ricner Bellegarde,Wolves,"MF,FW",26,1677,2,7,1.5,3.8,5.3,52,43,44,47,27,30,18,8,61,14,38,11,89
João Gomes,Wolves,MF,23,2974,3,1,2.9,1.2,4.1,59,165,29,47,23,122,24,1,65,30,51,6,76
Jørgen Strand Larsen,Wolves,FW,24,2587,14,4,10.3,3.0,13.3,17,29,6,19,21,19,4,1,20,8,14,9,112
Marshall Munetsi,Wolves,"MF,FW",28,1078,2,1,3.3,1.8,5.1,9,10,10,10,9,7,3,2,11,3,4,4,35
Matheus Cunha,Wolves,"MF,FW",25,2597,15,6,8.6,7.7,16.4,112,144,142,71,56,92,58,10,137,61,95,41,161
Pablo Sarabia,Wolves,"MF,FW",32,814,3,2,2.9,1.8,4.6,15,60,47,15,15,39,20,3,15,6,15,0,62
Ander Guevara,Alavés,MF,27,1947,0,1,0.9,0.6,1.5,14,112,5,18,12,95,11,1,15,9,16,0,19
Antonio Blanco,Alavés,MF,24,2727,0,1,0.8,1.6,2.4,13,146,29,27,15,142,19,9,21,15,17,0,19
Carles Aleñá,Alavés,"MF,FW",26,1090,0,2,0.7,1.3,2.0,18,58,31,24,19,35,14,2,24,12,25,2,43
Carlos Martín,Alavés,"FW,MF",22,1333,2,2,2.3,2.7,5.0,13,21,24,28,13,15,7,4,36,9,11,4,67
Carlos Vicente,Alavés,"FW,MF",25,3092,4,5,3.5,5.4,8.1,104,68,269,62,63,36,38,29,106,34,48,28,226
Joan Jordán,Alavés,MF,30,1414,2,2,4.8,2.3,4.0,7,104,106,11,31,102,15,5,7,6,19,1,35
Jon Guridi,Alavés,"MF,FW",29,2080,2,1,4.2,1.2,4.6,27,79,17,14,17,55,11,3,26,8,31,4,90
Kiké,Alavés,FW,34,2542,10,0,9.6,0.9,8.2,25,50,13,59,13,30,6,1,35,13,18,10,158
Stoichkov,Alavés,"MF,FW",30,699,0,1,1.1,1.2,2.3,9,26,13,16,7,16,10,1,18,6,5,3,41
Tomás Conechny,Alavés,"FW,MF",26,847,1,0,2.4,0.3,2.7,14,23,31,11,7,14,11,8,13,6,18,2,61
Toni Martínez,Alavés,FW,27,1012,4,0,3.6,0.6,4.2,13,11,7,13,11,11,4,1,15,9,9,7,57
Beñat Prados,Athletic Club,MF,23,1715,1,0,1.0,1.1,2.1,20,78,9,15,11,70,6,1,30,15,19,1,32
Gorka Guruzeta,Athletic Club,FW,27,1840,7,2,6.7,1.5,8.1,8,31,5,21,15,23,2,0,20,11,12,2,64
Iñaki Williams,Athletic Club,FW,30,2652,6,8,7.6,7.8,15.4,107,76,115,39,43,38,51,15,101,33,39,49,302
Iñigo Ruiz de Galarreta,Athletic Club,MF,30,1477,0,4,0.5,2.9,3.4,27,137,29,17,28,101,25,3,23,16,14,3,39
Maroan Sannadi,Athletic Club,FW,23,754,1,1,3.5,0.6,4.1,21,15,6,30,7,13,8,0,30,14,7,9,67
Mikel Jauregizar,Athletic Club,MF,20,2244,2,1,1.1,1.4,2.5,14,118,27,42,23,106,11,1,42,20,25,1,31
Mikel Vesga,Athletic Club,MF,31,988,0,0,1.2,1.0,1.4,10,64,8,4,12,51,5,0,12,7,13,3,22
Nico Williams,Athletic Club,FW,22,1996,5,5,4.2,3.5,7.7,118,69,107,35,40,23,29,8,187,68,58,58,254
Oihan Sancet,Athletic Club,MF,24,1620,12,1,9.7,1.9,9.2,52,90,18,24,21,66,15,1,50,24,39,8,115
Unai Gómez,Athletic Club,"MF,FW",21,1284,1,3,1.9,0.8,2.7,19,23,23,18,10,20,1,0,29,12,17,3,49
Álex Berenguer,Athletic Club,"FW,MF",29,2339,6,7,6.8,5.0,11.0,65,78,178,30,46,49,28,11,82,33,40,27,216
Álvaro djaló,Athletic Club,FW,24,659,1,0,0.8,0.9,1.7,22,13,14,14,4,6,6,4,36,14,23,6,60
Alexander Sørloth,Atlético Madrid,FW,28,1566,19,2,16.8,1.6,17.6,32,31,5,13,13,19,10,1,37,14,13,15,81
Antoine Griezmann,Atlético Madrid,"FW,MF",33,2469,7,7,7.4,7.1,12.9,46,143,138,26,48,105,47,11,35,15,56,6,177
Conor Gallagher,Atlético Madrid,MF,24,1633,3,3,2.8,1.2,3.9,24,64,13,39,12,47,14,1,42,17,23,7,64
Giuliano Simeone,Atlético Madrid,MF,21,1926,2,6,2.2,5.2,7.4,69,49,49,42,24,30,27,10,68,30,42,24,189
Julián Álvarez,Atlético Madrid,FW,24,2509,13,4,14.1,5.3,16.3,79,92,69,9,41,45,38,5,65,34,51,29,162
Koke,Atlético Madrid,MF,32,1926,1,1,1.1,1.4,2.5,22,132,22,16,16,134,22,6,22,9,21,0,18
Pablo Barrios,Atlético Madrid,MF,21,2330,1,4,1.3,2.4,3.7,29,142,26,27,26,148,24,5,42,25,35,6,69
Rodrigo De Paul,Atlético Madrid,MF,30,2106,3,5,1.3,5.6,6.9,85,231,59,49,42,180,58,13,35,14,66,3,64
Ángel Correa,Atlético Madrid,"FW,MF",29,805,4,1,4.5,2.1,6.6,30,25,24,11,14,19,10,1,38,13,20,13,85
Dani Olmo,Barcelona,"MF,FW",26,1212,8,3,6.5,3.0,7.9,33,81,21,27,26,49,29,1,45,23,35,7,97
Fermin López,Barcelona,"MF,FW",21,1252,6,5,5.6,3.9,9.5,31,79,47,21,29,65,20,6,55,25,22,12,108
Ferrán Torres,Barcelona,"FW,MF",24,1106,10,6,8.0,3.1,11.0,23,35,17,16,19,17,18,2,21,11,14,13,98
Frenkie de Jong,Barcelona,MF,27,1143,2,2,0.7,2.0,2.6,36,120,6,18,21,140,12,0,8,5,38,1,24
Gavi,Barcelona,"MF,FW",19,1085,1,1,0.9,1.6,2.4,13,77,9,26,14,92,11,1,18,9,16,1,42
Lamine Yamal,Barcelona,FW,17,2856,9,13,9.8,13.9,23.8,181,160,108,60,64,78,95,16,316,161,96,95,433
Marc Casado,Barcelona,MF,20,1611,1,3,1.1,1.4,2.4,12,107,9,36,9,138,6,0,9,4,22,0,24
Pedri,Barcelona,MF,21,2879,4,5,2.2,7.4,9.6,92,360,58,51,70,331,79,4,61,40,103,8,136
Raphinha,Barcelona,"FW,MF",27,2839,16,9,19.2,12.7,30.3,94,135,215,37,91,87,67,18,103,52,66,46,349
Robert Lewandowski,Barcelona,FW,35,2667,24,2,27.1,2.3,26.3,27,48,5,39,19,31,9,0,35,20,11,16,164
Abde Ezzalzouli,Betis,"FW,MF",22,1984,2,2,8.0,2.0,9.3,117,68,49,38,27,42,19,2,103,46,75,58,215
Antony,Betis,FW,24,1362,5,2,2.9,3.5,6.3,94,67,40,27,36,34,43,7,63,24,77,30,157
Cucho,Betis,FW,25,1139,5,1,3.8,1.5,5.3,27,34,12,9,14,20,10,1,26,17,9,14,82
Cédric Bakambu,Betis,FW,33,710,2,2,3.2,0.6,3.7,9,14,2,7,8,9,5,0,7,1,4,7,43
Ezequiel Ávila,Betis,FW,30,677,2,0,1.5,1.0,2.5,12,18,29,18,15,1,11,6,11,5,7,4,48
Giovani Lo Celso,Betis,"MF,FW",28,1457,6,3,4.8,4.9,7.3,26,132,95,63,43,89,41,1,55,21,31,9,66
Isco,Betis,MF,32,1547,4,8,8.6,4.4,8.2,38,152,92,44,61,120,31,5,59,27,54,5,112
Jesus Rodríguez,Betis,FW,18,1111,2,0,2.3,0.2,2.5,53,35,18,38,8,15,19,2,84,30,36,39,99
Johnny Cardoso,Betis,MF,22,2144,3,1,2.0,0.9,3.0,19,71,3,27,9,63,4,0,42,26,16,1,28
Marc Roca,Betis,MF,27,906,2,2,1.1,1.0,2.1,11,59,10,5,12,51,6,2,5,4,14,0,13
Pablo Fornals,Betis,"MF,FW",28,1827,2,0,1.8,3.3,5.1,32,146,54,14,36,93,33,8,28,8,34,7,85
Sergi Altimira,Betis,MF,22,1972,0,1,1.7,1.7,3.3,25,99,5,33,22,91,13,0,24,16,14,1,30
Vitor Roque,Betis,FW,19,1235,4,0,6.1,1.2,7.3,24,17,6,30,12,4,10,3,39,10,14,16,57
Alfon,Celta Vigo,"FW,MF",25,1371,5,2,4.6,2.6,7.2,89,22,40,31,24,8,7,1,63,25,39,47,170
Anastasios Douvikas,Celta Vigo,FW,24,700,3,1,4.4,0.2,4.7,6,6,1,27,3,2,1,0,13,4,7,4,43
Borja Iglesias,Celta Vigo,FW,31,1952,11,3,9.3,3.2,12.6,22,28,6,34,18,20,9,0,32,11,13,13,108
Damián Rodríguez,Celta Vigo,MF,21,927,0,0,0.1,0.8,0.9,8,71,30,9,17,85,4,0,2,0,8,0,12
Fer López,Celta Vigo,"FW,MF",,671,2,0,2.7,1.9,4.6,27,43,2,8,14,19,12,0,34,18,20,7,58
Fran Beltrán,Celta Vigo,MF,25,2421,2,1,1.0,1.8,2.8,28,152,5,12,15,132,14,1,19,10,29,2,29
Hugo Sotelo,Celta Vigo,MF,20,1254,0,0,0.2,1.7,1.8,21,83,50,9,19,100,12,3,20,8,18,2,38
Iago Aspas,Celta Vigo,"FW,MF",36,1745,5,5,8.7,4.6,8.6,50,132,15,34,38,74,35,4,27,15,39,15,143
Ilaix Moriba,Celta Vigo,MF,21,2132,1,1,1.7,1.5,3.2,34,119,6,58,20,107,19,2,49,15,36,9,64
Jonathan Bamba,Celta Vigo,"FW,MF",28,811,0,1,0.8,1.8,2.6,31,30,25,17,12,20,13,6,38,15,15,8,71
Pablo Durán,Celta Vigo,"FW,MF",23,1394,4,4,3.6,2.8,6.5,24,30,18,18,17,21,10,3,42,12,14,13,124
Williot Swedberg,Celta Vigo,"FW,MF",20,1348,4,5,5.2,2.6,7.9,34,28,18,32,16,16,12,1,44,10,21,18,116
Alejo Véliz,Espanyol,FW,20,1127,1,0,2.3,0.6,2.8,2,8,0,33,3,9,0,0,5,1,3,0,27
Alex Král,Espanyol,MF,26,2714,0,1,1.5,1.5,3.0,49,78,38,23,12,74,12,4,55,29,33,7,79
Antoniu,Espanyol,"FW,MF",21,1022,0,1,0.9,1.1,1.9,35,28,20,23,7,10,7,3,54,29,23,5,63
Edu Expósito,Espanyol,MF,27,1045,0,2,1.0,3.2,4.2,23,64,66,22,28,36,14,4,28,15,20,4,41
Irvin Cardona,Espanyol,"FW,MF",26,606,1,1,1.1,0.6,1.7,14,15,14,8,9,9,11,4,13,3,14,6,43
Javi Puado,Espanyol,"FW,MF",26,2974,7,4,11.6,3.0,10.7,73,75,27,27,22,36,15,4,61,21,48,22,113
Jofre,Espanyol,"MF,FW",23,2165,3,3,2.5,2.5,5.0,65,48,54,59,24,17,15,9,112,39,51,27,156
Pol Lozano,Espanyol,MF,24,1943,0,1,0.2,0.8,1.0,18,115,19,14,17,95,11,4,19,5,12,0,12
Roberto Férnandez,Espanyol,FW,22,1497,6,0,3.6,0.6,4.2,7,17,2,25,8,9,7,0,27,11,10,3,50
Urko González,Espanyol,MF,23,1374,0,2,0.5,0.7,1.3,18,62,3,11,10,37,5,0,17,6,14,3,8
Walid Cheddira,Espanyol,FW,26,640,1,1,1.0,1.2,2.2,8,12,2,27,6,3,1,0,20,4,6,8,34
Alex Sola,Getafe,"MF,FW",25,1029,0,1,1.0,0.7,1.6,24,23,18,26,9,12,2,1,61,21,12,10,61
Bertuğ Yıldırım,Getafe,FW,22,1083,1,0,2.5,1.2,3.7,8,14,7,18,9,9,9,3,16,7,4,2,48
Borja Mayoral,Getafe,FW,27,1114,4,1,3.4,0.9,3.6,10,13,9,15,8,11,2,0,20,6,9,8,43
Carles Pérez,Getafe,"MF,FW",26,1431,3,0,2.4,1.5,3.9,31,20,42,11,17,17,14,8,50,21,33,9,77
