jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Hákon Arnar Haraldsson,Lille,"MF,FW",1755,3.8,2.8,5,3,52,102,35,64,59,49,27,55.1% (27/49),154
Jonathan David,Lille,FW,2554,16.2,4.4,10,5,40,65,36,29,4,42,20,47.6% (20/42),105
Matias Fernandez-Pardo,Lille,"FW,MF",1065,2.9,2.8,4,2,46,26,16,10,30,50,20,40.0% (20/50),72
Ngal'Ayel Mukau,Lille,MF,1190,0.8,0.7,0,1,19,57,12,52,5,17,9,52.9% (9/17),76
Osame Sahraoui,Lille,"FW,MF",1293,2.9,3.6,3,3,69,89,29,47,12,79,35,44.3% (35/79),158
Rémy Cabella,Lille,"FW,MF",1011,4.0,2.3,1,2,45,77,26,39,60,38,19,50.0% (19/38),122
Alexandre Lacazette,Lyon,FW,2051,16.3,3.4,10,2,24,66,26,34,17,31,14,45.2% (14/31),90
Corentin Tolisso,Lyon,MF,2329,5.3,4.9,7,4,31,166,31,147,32,21,11,52.4% (11/21),197
Ernest Nuamah,Lyon,"FW,MF",1052,2.2,1.5,3,1,44,33,18,11,30,43,22,51.2% (22/43),77
Georges Mikautadze,Lyon,FW,1449,10.3,4.3,8,6,37,54,21,21,9,59,17,28.8% (17/59),91
Jordan Veretout,Lyon,MF,1553,1.9,0.6,2,0,35,99,13,86,26,9,5,55.6% (5/9),134
Malick Fofana,Lyon,FW,1589,3.8,3.7,5,4,112,45,25,20,70,59,24,40.7% (24/59),157
Nemanja Matić,Lyon,MF,2010,0.1,1.3,0,1,35,150,17,164,9,13,8,61.5% (8/13),185
Rayan Cherki,Lyon,"FW,MF",2041,5.0,11.1,8,11,106,206,75,97,118,97,48,49.5% (48/97),312
Saïd Benrahma,Lyon,"FW,MF",735,2.0,2.1,1,3,41,32,14,21,43,29,8,27.6% (8/29),73
Tanner Tessmann,Lyon,MF,1234,1.0,0.6,1,0,11,56,7,64,14,20,10,50.0% (10/20),67
Thiago Almada,Lyon,"MF,FW",951,2.0,2.6,1,4,38,97,22,58,47,14,8,57.1% (8/14),135
Adrien Rabiot,Marseille,MF,2485,7.3,3.8,9,4,79,168,28,147,40,50,26,52.0% (26/50),247
Amine Gouiri,Marseille,"FW,MF",1048,8.4,3.6,10,3,17,20,26,8,57,22,10,45.5% (10/22),37
Ismaël Bennacer,Marseille,MF,646,0.1,1.8,0,2,14,72,13,83,28,11,7,63.6% (7/11),86
Jon Rowe,Marseille,"FW,MF",807,3.5,4.5,3,3,30,31,18,8,28,48,20,41.7% (20/48),61
Mason Greenwood,Marseille,"FW,MF",2804,16.3,5.7,14,5,126,157,47,78,110,129,54,41.9% (54/129),283
Neal Maupay,Marseille,FW,1042,4.1,2.2,4,4,12,37,13,15,1,14,6,42.9% (6/14),49
Pierre Højbjerg,Marseille,MF,2664,3.3,3.9,2,4,36,263,43,231,19,24,7,29.2% (7/24),299
Aleksandr Golovin,Monaco,"MF,FW",1153,2.3,2.4,3,0,39,112,24,77,23,37,22,59.5% (22/37),151
Breel Embolo,Monaco,"FW,MF",1841,10.8,5.6,6,4,22,55,32,22,6,42,14,33.3% (14/42),77
Denis Zakaria,Monaco,MF,2144,5.2,1.4,4,4,27,113,16,91,7,36,21,58.3% (21/36),140
Eliesse Ben Seghir,Monaco,"MF,FW",1750,5.5,5.2,4,3,85,122,33,71,52,96,35,36.5% (35/96),207
Folarin Balogun,Monaco,FW,615,4.8,0.9,4,0,21,9,6,5,5,18,4,22.2% (4/18),30
George Ilenikhena,Monaco,FW,717,5.1,1.4,3,2,8,10,9,3,0,17,3,17.6% (3/17),18
Lamine Camara,Monaco,MF,2054,2.3,4.4,2,7,25,141,44,133,118,25,12,48.0% (12/25),166
Maghnes Akliouche,Monaco,"FW,MF",2406,9.2,7.3,4,10,127,173,49,90,53,103,50,48.5% (50/103),300
Mika Biereth,Monaco,FW,1228,11.3,4.5,12,2,14,24,22,11,8,11,1,9.1% (1/11),38
Soungoutou Magassa,Monaco,MF,1025,0.5,0.9,0,1,6,63,7,67,7,23,15,65.2% (15/23),69
Takumi Minamino,Monaco,"MF,FW",2231,8.9,6.6,6,3,51,114,40,66,23,40,12,30.0% (12/40),165
Akor Adams,Montpellier,FW,1075,4.3,1.0,3,1,11,6,12,8,5,14,7,50.0% (7/14),17
Andy Delort,Montpellier,FW,607,1.3,0.9,0,0,4,6,7,5,11,5,3,60.0% (3/5),10
Arnaud Nordin,Montpellier,FW,1166,4.1,0.9,3,1,51,23,15,6,35,51,23,45.1% (23/51),74
Jordan Ferri,Montpellier,MF,1773,0.4,0.9,0,2,19,137,13,119,25,28,9,32.1% (9/28),156
Joris Chotard,Montpellier,MF,1892,1.3,0.5,1,0,20,80,7,80,30,16,8,50.0% (8/16),100
Khalil Fayad,Montpellier,"MF,FW",1028,1.3,0.3,0,0,25,50,7,35,20,38,17,44.7% (17/38),75
Musa Al-Taamari,Montpellier,"FW,MF",1116,2.6,1.5,2,1,55,30,12,12,14,71,23,32.4% (23/71),85
Rabby Nzingoula,Montpellier,MF,1689,1.0,1.6,1,0,25,40,8,32,16,52,25,48.1% (25/52),65
Tanguy Coulibaly,Montpellier,"FW,MF",1485,3.5,1.3,3,0,48,20,18,8,21,54,29,53.7% (29/54),68
Téji Savanier,Montpellier,MF,2363,3.8,6.9,0,5,26,183,67,165,199,67,27,40.3% (27/67),209
Wahbi Khazri,Montpellier,"FW,MF",1118,2.3,2.2,1,1,24,33,18,27,48,26,7,26.9% (7/26),57
Douglas,Nantes,MF,2307,3.4,1.5,4,2,14,125,15,108,10,20,12,60.0% (12/20),139
Johann Lepenant,Nantes,MF,2048,1.4,0.9,2,1,25,89,8,70,16,36,18,50.0% (18/36),114
Matthis Abline,Nantes,FW,2768,8.5,3.8,8,2,75,48,27,23,30,86,35,40.7% (35/86),123
Moses Simon,Nantes,"FW,MF",2609,5.8,6.7,4,10,147,59,56,27,222,147,65,44.2% (65/147),206
Mostafa Mohamed,Nantes,FW,1252,5.5,0.4,5,0,11,20,6,16,4,26,12,46.2% (12/26),31
Pedro Chirivella,Nantes,MF,2348,0.5,1.8,0,2,16,170,19,169,19,7,3,42.9% (3/7),186
Sorba Thomas,Nantes,"FW,MF",1321,1.5,3.7,1,3,41,34,36,27,130,24,9,37.5% (9/24),75
Badredine Bouanani,Nice,"MF,FW",1099,2.7,2.4,2,3,47,44,20,19,33,36,14,38.9% (14/36),91
Baptiste Santamaria,Nice,MF,927,0.9,1.0,0,0,10,45,9,40,3,13,8,61.5% (8/13),55
Evann Guessand,Nice,"FW,MF",2565,9.2,5.4,12,8,87,79,32,46,36,103,49,47.6% (49/103),166
Gaëtan Laborde,Nice,FW,1829,11.7,3.5,7,4,30,40,27,26,27,37,18,48.6% (18/37),70
Hicham Boudaoui,Nice,MF,2435,2.7,3.0,2,3,54,124,22,76,17,65,25,38.5% (25/65),178
Jeremie Boga,Nice,"MF,FW",1054,2.3,2.8,1,2,64,39,24,11,21,64,25,39.1% (25/64),103
Mohamed Ali Cho,Nice,"FW,MF",1621,4.0,4.0,3,4,81,59,30,23,51,70,20,28.6% (20/70),140
Sofiane Diop,Nice,"MF,FW",1064,6.0,2.9,6,4,26,64,24,47,33,31,10,32.3% (10/31),90
Tanguy Ndombele,Nice,MF,1131,2.4,2.4,1,2,22,61,18,41,3,47,25,53.2% (25/47),83
Bradley Barcola,Paris S-G,FW,2181,13.4,10.1,14,10,137,96,50,28,25,137,34,24.8% (34/137),233
Désiré Doué,Paris S-G,"FW,MF",1730,5.1,7.8,6,6,97,139,55,83,78,129,57,44.2% (57/129),236
Fabián Ruiz Peña,Paris S-G,MF,1923,4.3,4.7,4,5,47,205,36,155,27,20,14,70.0% (14/20),252
Gonçalo Ramos,Paris S-G,FW,1066,13.6,2.2,8,3,11,24,15,9,1,11,1,9.1% (1/11),35
Khvicha Kvaratskhelia,Paris S-G,FW,916,3.3,4.9,4,3,50,43,25,32,33,53,25,47.2% (25/53),93
Lee Kang-in,Paris S-G,"FW,MF",1663,3.5,5.6,6,6,50,143,56,103,94,51,29,56.9% (29/51),193
Marco Asensio,Paris S-G,"FW,MF",618,5.6,2.7,2,4,19,36,16,31,13,8,4,50.0% (4/8),55
Ousmane Dembélé,Paris S-G,FW,1730,16.6,8.2,20,6,127,137,63,93,80,95,42,44.2% (42/95),264
Senny Mayulu,Paris S-G,MF,808,2.9,2.1,2,2,29,46,12,32,9,33,15,45.5% (15/33),75
Vitinha,Paris S-G,MF,2042,3.4,2.6,3,1,53,224,27,257,21,40,27,67.5% (27/40),277
Amadou Koné,Reims,MF,1293,0.5,0.3,0,0,19,68,8,53,3,25,15,60.0% (15/25),87
Junya Ito,Reims,"FW,MF",2690,4.6,7.1,4,3,100,133,82,69,234,110,47,42.7% (47/110),233
Keito Nakamura,Reims,"FW,MF",2649,9.1,2.9,11,2,90,82,26,32,56,78,30,38.5% (30/78),172
Mamadou Diakhon,Reims,"FW,MF",858,1.0,1.1,2,1,61,17,13,5,33,61,25,41.0% (25/61),78
Marshall Munetsi,Reims,MF,1692,4.0,2.0,4,2,8,26,19,14,11,12,6,50.0% (6/12),34
Oumar Diakité,Reims,FW,1628,5.5,1.1,4,1,24,44,11,22,7,57,20,35.1% (20/57),68
Teddy Teuma,Reims,MF,750,1.4,1.1,0,0,9,47,13,41,44,12,3,25.0% (3/12),56
Valentin Atangana Edoa,Reims,MF,2854,2.5,1.1,1,0,41,93,12,66,17,48,14,29.2% (14/48),134
Yaya Kader Fofana,Reims,"MF,FW",634,0.6,1.7,1,1,19,22,7,14,6,22,14,63.6% (14/22),41
Albert Grønbaek,Rennes,"MF,FW",813,1.5,1.0,2,1,23,30,19,9,28,37,11,29.7% (11/37),53
Amine Gouiri,Rennes,"MF,FW",1037,3.5,0.4,3,2,22,46,8,21,12,33,15,45.5% (15/33),68
Arnaud Kalimuendo,Rennes,"FW,MF",2578,14.9,2.0,12,3,50,72,19,36,13,62,21,33.9% (21/62),122
Azor Matusiwa,Rennes,MF,2078,1.2,1.8,1,3,19,134,17,109,1,22,17,77.3% (17/22),153
Djaoui Cissé,Rennes,MF,1121,0.4,0.2,1,0,16,84,6,66,3,18,13,72.2% (13/18),100
Glen Kamara,Rennes,MF,662,0.2,0.2,0,1,5,34,5,34,0,8,4,50.0% (4/8),39
Jordan James,Rennes,MF,1178,0.9,1.9,0,1,21,67,24,55,34,21,9,42.9% (9/21),88
Ludovic Blas,Rennes,"MF,FW",2293,5.0,4.6,6,8,83,116,47,76,124,116,44,37.9% (44/116),199
Seko Fofana,Rennes,MF,844,1.8,1.2,1,1,32,72,13,38,5,24,12,50.0% (12/24),104
Aimen Moueffek,Saint-Étienne,MF,1039,1.1,1.1,0,1,20,43,10,39,4,24,11,45.8% (11/24),63
Augustine Boakye,Saint-Étienne,"FW,MF",733,1.8,0.9,3,0,25,35,13,14,5,24,13,54.2% (13/24),60
Benjamin Bouchouari,Saint-Étienne,MF,1772,0.6,0.9,1,0,48,133,16,123,9,53,27,50.9% (27/53),181
Florian Tardieu,Saint-Étienne,MF,1252,0.6,1.3,2,4,11,139,19,127,24,13,3,23.1% (3/13),150
Ibrahim Sissoko,Saint-Étienne,FW,819,4.3,0.6,2,1,14,12,7,9,3,11,3,27.3% (3/11),26
Irvin Cardona,Saint-Étienne,FW,1063,4.5,1.4,5,3,30,32,15,11,31,22,6,27.3% (6/22),62
Louis Mouton,Saint-Étienne,MF,1045,1.3,1.3,0,1,18,54,16,42,21,24,12,50.0% (12/24),72
Lucas Stassin,Saint-Étienne,FW,1887,7.0,3.4,12,4,26,35,18,13,19,36,15,41.7% (15/36),61
Mathieu Cafaro,Saint-Étienne,"MF,FW",732,1.5,1.3,1,0,19,16,13,12,27,17,7,41.2% (7/17),35
Mathis Amougou,Saint-Étienne,MF,859,0.5,0.4,0,0,8,36,7,23,1,16,5,31.2% (5/16),44
Pierre Ekwah Elimby,Saint-Étienne,MF,2575,0.7,1.0,1,0,20,146,16,144,5,32,18,56.2% (18/32),166
Zuriko Davitashvili,Saint-Étienne,"FW,MF",2778,8.1,4.7,7,8,95,73,50,38,85,123,46,37.4% (46/123),168
Andrey Santos,Strasbourg,MF,2855,5.1,3.3,10,3,29,149,27,141,0,37,18,48.6% (18/37),178
Emanuel Emegha,Strasbourg,FW,2293,17.0,2.4,14,3,37,14,18,4,0,28,7,25.0% (7/28),51
Félix Lemaréchal,Strasbourg,"MF,FW",1779,3.5,2.9,4,3,35,58,29,35,26,48,24,50.0% (24/48),93
Habib Diarra,Strasbourg,"MF,FW",2352,3.3,4.5,2,5,61,116,27,64,54,49,13,26.5% (13/49),177
Sebastian Nanasi,Strasbourg,"MF,FW",2107,6.5,4.9,6,4,53,126,37,74,66,40,19,47.5% (19/40),179
Sekou Mara,Strasbourg,"FW,MF",768,2.0,1.0,1,1,9,11,5,9,3,27,11,40.7% (11/27),20
Cristian Cásseres Jr.,Toulouse,MF,2696,1.0,2.6,1,3,31,128,27,89,80,38,22,57.9% (22/38),159
Frank Magri,Toulouse,"FW,MF",1516,6.0,1.5,5,1,17,25,9,15,4,18,4,22.2% (4/18),42
Joshua King,Toulouse,"FW,MF",1673,6.6,2.0,6,3,39,29,17,13,9,64,35,54.7% (35/64),68
Shavy Babicka,Toulouse,"MF,FW",1186,3.9,1.6,4,2,36,21,13,8,39,37,11,29.7% (11/37),57
Vincent Sierro,Toulouse,MF,2402,4.2,3.6,3,1,15,147,30,102,64,28,12,42.9% (12/28),162
Yann Gboho,Toulouse,"MF,FW",2333,5.4,3.5,5,4,116,103,30,53,26,122,50,41.0% (50/122),219
Zakaria Aboukhlal,Toulouse,"MF,FW",1901,10.2,1.6,6,2,34,22,12,16,33,53,16,30.2% (16/53),56
Alexis Claude-Maurice,Augsburg,"MF,FW",2109,4.7,1.2,9,2,59,61,21,38,21,90,42,46.7% (42/90),120
Arne Maier,Augsburg,MF,938,1.5,1.5,0,0,19,44,25,40,67,16,7,43.8% (7/16),63
Elvis Rexhbeçaj,Augsburg,MF,1785,1.4,1.1,1,1,31,94,16,39,71,32,10,31.2% (10/32),125
Frank Onyeka,Augsburg,MF,2586,1.4,1.3,0,1,46,106,17,70,20,54,18,33.3% (18/54),152
Fredrik Jensen,Augsburg,MF,763,0.7,0.7,0,0,16,20,11,8,20,13,7,53.8% (7/13),36
Kristijan Jakić,Augsburg,MF,2306,0.8,1.2,0,1,24,106,16,95,13,29,14,48.3% (14/29),130
Mert Kömür,Augsburg,MF,654,1.1,1.5,2,1,18,11,13,3,26,22,12,54.5% (12/22),29
Phillip Tietz,Augsburg,FW,1686,6.1,1.2,6,2,8,29,22,18,1,31,15,48.4% (15/31),37
Samuel Essende,Augsburg,FW,1636,4.2,1.3,7,2,33,21,11,11,5,52,14,26.9% (14/52),54
Aleksandar Pavlovic,Bayern Munich,MF,1451,0.6,0.2,1,0,15,128,7,169,5,5,5,100.0% (5/5),143
Harry Kane,Bayern Munich,FW,2381,20.3,5.3,17,9,29,97,35,56,13,53,23,43.4% (23/53),126
Jamal Musiala,Bayern Munich,MF,1798,9.3,4.5,12,2,71,107,41,75,8,141,72,51.1% (72/141),178
Joshua Kimmich,Bayern Munich,MF,2847,1.8,7.4,3,7,51,362,83,437,176,22,12,54.5% (12/22),413
João Palhinha,Bayern Munich,MF,673,0.7,0.2,0,0,3,32,4,47,2,4,2,50.0% (2/4),35
Kingsley Coman,Bayern Munich,FW,1282,4.3,3.3,5,4,66,45,32,26,45,74,39,52.7% (39/74),111
Leroy Sané,Bayern Munich,FW,1637,10.2,5.5,11,5,75,64,36,24,51,100,39,39.0% (39/100),139
Michael Olise,Bayern Munich,"FW,MF",2334,9.7,12.0,12,15,119,184,90,89,131,151,72,47.7% (72/151),303
Serge Gnabry,Bayern Munich,"FW,MF",1242,7.5,5.1,7,5,44,48,24,21,22,40,18,45.0% (18/40),92
Thomas Müller,Bayern Munich,"MF,FW",1225,3.8,2.9,1,4,24,50,35,24,46,17,8,47.1% (8/17),74
Anthony Losilla,Bochum,MF,1137,0.1,0.4,0,0,3,45,7,23,4,5,1,20.0% (1/5),48
Dani de Wit,Bochum,"MF,FW",1153,2.1,0.5,2,1,5,33,10,24,8,8,1,12.5% (1/8),38
Giorgos Masouras,Bochum,"FW,MF",1055,3.9,1.1,2,1,26,19,10,11,26,14,5,35.7% (5/14),45
Ibrahima Sissoko,Bochum,MF,2610,1.7,1.6,2,1,35,105,27,77,21,61,32,52.5% (32/61),140
Matúš Bero,Bochum,MF,2565,4.0,3.7,5,2,29,143,54,104,124,55,19,34.5% (19/55),172
Moritz Broschinski,Bochum,"FW,MF",1390,4.2,1.8,1,3,37,20,13,9,28,53,14,26.4% (14/53),57
Myron Boadu,Bochum,FW,1042,7.7,1.1,8,1,12,18,11,7,3,23,11,47.8% (11/23),30
Philipp Hofmann,Bochum,FW,2277,5.5,3.3,3,3,8,53,26,40,10,20,10,50.0% (10/20),61
Tom Krauß,Bochum,MF,1077,0.4,0.7,0,0,16,84,12,76,10,23,12,52.2% (12/23),100
Donyell Malen,Dortmund,"FW,MF",614,2.9,0.2,3,0,23,17,1,6,13,32,11,34.4% (11/32),40
Felix Nmecha,Dortmund,MF,1509,1.3,1.1,4,1,21,85,14,91,6,26,17,65.4% (17/26),106
Jamie Gittens,Dortmund,"FW,MF",1776,3.6,2.5,8,3,113,42,21,17,49,171,77,45.0% (77/171),155
Julian Brandt,Dortmund,MF,2303,4.8,8.5,5,10,61,149,61,94,71,54,19,35.2% (19/54),210
Karim Adeyemi,Dortmund,"FW,MF",1433,5.5,6.0,7,6,68,28,28,10,26,94,40,42.6% (40/94),96
Marcel Sabitzer,Dortmund,MF,1616,1.8,1.6,1,0,24,97,12,75,23,15,6,40.0% (6/15),121
Maximilian Beier,Dortmund,"FW,MF",1591,7.7,3.3,8,5,24,33,24,13,16,51,22,43.1% (22/51),57
Serhou Guirassy,Dortmund,FW,2598,22.7,3.9,18,4,25,43,25,28,1,39,11,28.2% (11/39),68
Can Uzun,Eint Frankfurt,"MF,FW",675,3.0,1.1,4,1,11,42,14,25,18,22,11,50.0% (11/22),53
Ellyes Skhiri,Eint Frankfurt,MF,2231,1.4,1.4,1,2,17,105,22,82,3,15,11,73.3% (11/15),122
Fares Chaïbi,Eint Frankfurt,"MF,FW",1013,2.6,2.9,1,3,20,52,24,31,72,12,7,58.3% (7/12),72
Hugo Ekitike,Eint Frankfurt,FW,2563,21.6,6.8,14,8,93,53,44,24,17,119,52,43.7% (52/119),146
Hugo Larsson,Eint Frankfurt,MF,2393,3.1,2.1,3,1,16,121,21,89,8,19,12,63.2% (12/19),137
Jean Mattéo Bahoya,Eint Frankfurt,"MF,FW",921,1.9,1.7,2,3,24,28,18,15,31,30,17,56.7% (17/30),52
Mario Götze,Eint Frankfurt,"MF,FW",1542,2.9,3.1,3,2,29,88,34,56,39,23,9,39.1% (9/23),117
Omar Marmoush,Eint Frankfurt,FW,1448,8.8,6.2,13,9,73,50,34,30,78,101,46,45.5% (46/101),123
Oscar Højlund,Eint Frankfurt,MF,722,1.0,1.1,1,0,17,49,6,30,1,11,8,72.7% (8/11),66
Eren Dinkçi,Freiburg,"MF,FW",1196,1.1,2.2,0,3,33,35,23,24,15,39,16,41.0% (16/39),68
Junior Adamu,Freiburg,FW,1545,5.5,2.4,2,2,8,14,17,7,5,29,10,34.5% (10/29),22
Lucas Höler,Freiburg,"FW,MF",1867,7.7,2.9,6,4,21,47,22,34,14,34,18,52.9% (18/34),68
Maximilian Eggestein,Freiburg,MF,2845,2.0,1.5,2,0,34,141,19,131,9,24,11,45.8% (11/24),175
Merlin Röhl,Freiburg,"MF,FW",965,0.8,1.7,0,1,20,22,9,17,12,40,12,30.0% (12/40),42
Michael Gregoritsch,Freiburg,FW,639,1.8,0.4,2,1,6,19,5,9,1,7,4,57.1% (4/7),25
Nicolas Höfler,Freiburg,MF,794,0.2,0.1,0,0,1,30,3,31,1,4,4,100.0% (4/4),31
Patrick Osterhage,Freiburg,MF,2267,1.7,1.4,1,0,26,73,16,71,20,27,11,40.7% (11/27),99
Ritsu Doan,Freiburg,"FW,MF",2862,6.6,3.7,10,7,64,130,27,70,80,127,56,44.1% (56/127),194
Vincenzo Grifo,Freiburg,"FW,MF",2432,7.9,6.9,8,11,58,128,66,104,155,45,25,55.6% (25/45),186
Alassane Pléa,Gladbach,"MF,FW",1902,7.4,3.1,10,4,51,116,25,80,45,43,17,39.5% (17/43),167
Franck Honorat,Gladbach,FW,1439,4.5,5.3,4,7,63,45,50,24,125,32,12,37.5% (12/32),108
Julian Weigl,Gladbach,MF,2881,0.7,1.1,0,2,11,122,11,121,11,8,7,87.5% (7/8),133
Kevin Stöger,Gladbach,MF,1551,3.9,5.3,1,3,40,121,54,90,116,36,17,47.2% (17/36),161
Nathan N'Goumou,Gladbach,FW,828,1.9,1.3,2,1,30,16,6,11,22,27,9,33.3% (9/27),46
Philipp Sander,Gladbach,MF,1400,1.2,0.6,1,0,16,60,13,50,22,18,11,61.1% (11/18),76
Robin Hack,Gladbach,"FW,MF",2172,5.4,3.6,4,7,51,95,32,52,61,63,25,39.7% (25/63),146
Rocco Reitz,Gladbach,MF,1830,1.7,2.1,2,1,18,91,16,69,22,36,17,47.2% (17/36),109
Tim Kleindienst,Gladbach,FW,2737,13.6,6.2,15,7,45,63,29,30,16,37,14,37.8% (14/37),108
Tomáš Čvančara,Gladbach,FW,831,3.8,0.9,2,0,15,23,6,13,15,17,6,35.3% (6/17),38
Adrian Beck,Heidenheim,"MF,FW",1598,3.3,1.2,4,1,37,69,21,53,32,75,40,53.3% (40/75),106
Budu Zivzivadze,Heidenheim,FW,958,1.7,1.5,2,3,11,20,12,7,4,30,9,30.0% (9/30),31
Jan Schöppner,Heidenheim,MF,2681,3.9,3.4,4,3,35,107,25,67,12,32,14,43.8% (14/32),142
Lennard Maloney,Heidenheim,MF,760,0.3,0.0,0,0,1,14,1,12,1,4,1,25.0% (1/4),15
Léo Scienza,Heidenheim,"FW,MF",1153,2.0,3.7,3,3,70,30,34,30,81,83,37,44.6% (37/83),100
Marvin Pieringer,Heidenheim,"FW,MF",2206,8.9,4.0,4,4,23,59,30,36,11,35,16,45.7% (16/35),82
Niklas Dorsch,Heidenheim,MF,1335,1.0,1.1,2,2,13,57,13,46,37,14,7,50.0% (7/14),70
Paul Wanner,Heidenheim,"MF,FW",1771,3.7,1.3,2,2,28,64,20,43,52,59,25,42.4% (25/59),92
Sirlord Conteh,Heidenheim,"FW,MF",892,2.1,2.6,1,1,29,19,14,17,20,13,6,46.2% (6/13),48
Adam Hložek,Hoffenheim,"FW,MF",1871,5.6,3.5,8,4,54,68,20,37,20,64,33,51.6% (33/64),122
Andrej Kramarić,Hoffenheim,"MF,FW",2767,11.8,4.3,8,8,75,143,49,101,116,47,20,42.6% (20/47),218
Bazoumana Touré,Hoffenheim,"FW,MF",609,1.4,1.9,0,3,24,14,13,9,24,22,12,54.5% (12/22),38
Dennis Geiger,Hoffenheim,"MF,FW",734,0.2,0.5,0,0,12,37,11,32,5,8,4,50.0% (4/8),49
Finn Ole Becker,Hoffenheim,MF,670,0.1,0.3,0,1,3,45,8,38,8,14,6,42.9% (6/14),48
Florian Grillitsch,Hoffenheim,MF,601,0.2,0.2,0,0,4,44,5,39,4,12,5,41.7% (5/12),48
Gift Orban,Hoffenheim,FW,687,3.4,0.2,4,0,8,7,2,1,6,11,4,36.4% (4/11),15
Haris Tabakovic,Hoffenheim,FW,821,3.3,1.2,3,1,4,7,9,8,4,12,4,33.3% (4/12),11
Tom Bischof,Hoffenheim,"MF,FW",2559,2.2,3.6,5,2,47,138,50,110,145,64,29,45.3% (29/64),185
Alexander Bernhardsson,Holstein Kiel,"FW,MF",1263,4.1,1.3,7,2,25,33,17,16,34,53,22,41.5% (22/53),58
Armin Gigovic,Holstein Kiel,MF,1895,1.9,2.1,5,1,37,50,16,44,14,55,20,36.4% (20/55),87
Benedikt Pichler,Holstein Kiel,FW,785,2.3,1.1,1,2,18,19,12,11,11,18,8,44.4% (8/18),37
Jann-Fiete Arp,Holstein Kiel,"FW,MF",713,3.8,1.0,1,0,14,21,11,7,24,32,14,43.8% (14/32),35
Lewis Holtby,Holstein Kiel,MF,1238,0.5,1.5,0,1,14,47,21,29,46,15,7,46.7% (7/15),61
Magnus Knudsen,Holstein Kiel,MF,1850,0.7,1.3,0,1,16,54,8,39,8,16,9,56.2% (9/16),70
Nicolai Remberg,Holstein Kiel,MF,2417,1.5,0.8,0,1,25,80,9,73,8,25,7,28.0% (7/25),105
Phil Harres,Holstein Kiel,FW,1544,5.9,1.3,8,1,12,16,10,17,6,24,5,20.8% (5/24),28
Shuto Machino,Holstein Kiel,"FW,MF",1953,6.5,3.0,9,2,30,59,27,35,35,18,10,55.6% (10/18),89
Steven Skrzybski,Holstein Kiel,"MF,FW",1323,3.5,2.9,5,3,17,64,22,36,31,22,13,59.1% (13/22),81
Aleix García,Leverkusen,MF,1455,1.0,4.9,3,4,27,120,32,135,92,5,4,80.0% (4/5),147
Amine Adli,Leverkusen,"MF,FW",766,2.7,0.7,2,0,37,24,11,9,33,32,15,46.9% (15/32),61
Exequiel Palacios,Leverkusen,MF,1155,1.5,2.3,1,6,15,97,28,97,4,12,8,66.7% (8/12),112
Florian Wirtz,Leverkusen,"MF,FW",2351,9.4,7.0,8,12,131,176,57,96,101,167,82,49.1% (82/167),307
Granit Xhaka,Leverkusen,MF,2888,0.9,4.4,2,7,42,318,50,372,30,16,7,43.8% (7/16),360
Nathan Tella,Leverkusen,"MF,FW",1359,3.1,1.5,2,4,38,22,18,15,25,51,19,37.3% (19/51),60
Patrik Schick,Leverkusen,FW,1684,12.7,0.6,20,0,7,21,11,11,1,26,10,38.5% (10/26),28
Victor Boniface,Leverkusen,FW,1008,7.8,1.1,8,1,26,23,10,10,6,35,15,42.9% (15/35),49
Armindo Sieb,Mainz 05,"FW,MF",762,2.8,1.1,2,2,28,18,8,12,6,36,11,30.6% (11/36),46
Jonathan Burkardt,Mainz 05,FW,2109,14.8,3.1,16,2,32,42,20,25,27,39,16,41.0% (16/39),74
Kaishu Sano,Mainz 05,MF,3043,0.9,1.2,0,0,53,159,19,133,11,51,32,62.7% (32/51),212
Lee Jae-sung,Mainz 05,MF,2650,5.3,5.0,7,6,28,105,34,56,31,30,11,36.7% (11/30),133
Nadiem Amiri,Mainz 05,MF,2473,5.5,6.6,5,5,50,204,63,173,166,67,32,47.8% (32/67),254
Nelson Weiper,Mainz 05,"FW,MF",704,4.1,1.9,3,2,12,13,10,12,6,21,10,47.6% (10/21),25
Paul Nebel,Mainz 05,MF,2345,5.8,4.1,10,4,67,91,35,38,111,64,25,39.1% (25/64),158
Amadou Haidara,RB Leipzig,MF,1320,1.4,0.9,0,1,7,65,5,65,12,12,7,58.3% (7/12),72
Arthur Vermeeren,RB Leipzig,MF,1572,0.4,0.9,0,2,14,77,12,71,3,15,6,40.0% (6/15),91
Benjamin Šeško,RB Leipzig,"FW,MF",2380,10.0,2.1,11,5,47,46,19,25,7,75,39,52.0% (39/75),93
Christoph Baumgartner,RB Leipzig,MF,1610,4.5,1.3,2,1,37,53,20,40,14,42,17,40.5% (17/42),90
Kevin Kampl,RB Leipzig,MF,1593,0.8,1.4,1,0,21,106,16,81,29,19,13,68.4% (13/19),127
Loïs Openda,RB Leipzig,"FW,MF",2453,9.0,3.4,9,5,58,47,28,24,27,74,22,29.7% (22/74),105
Xavi Simons,RB Leipzig,MF,2150,5.1,6.3,10,6,85,140,51,79,79,100,33,33.0% (33/100),225
