jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Phil Foden,Manchester City,"MF,FW",1777,5.2,4.8,7,2,50,103,43,41,80,43,14,32.6% (14/43),153
Sávio,Manchester City,"FW,MF",1766,5.0,6.9,1,8,137,67,46,19,84,113,52,46.0% (52/113),204
İlkay Gündoğan,Manchester City,MF,2223,3.2,3.5,1,6,64,127,44,108,60,41,17,41.5% (17/41),191
Alejandro Garnacho,Manchester Utd,"MF,FW",2199,7.3,4.5,6,2,141,56,37,22,56,89,26,29.2% (26/89),197
Amad Diallo,Manchester Utd,"MF,FW",1901,4.7,4.9,8,6,109,60,49,27,42,88,41,46.6% (41/88),169
Bruno Fernandes,Manchester Utd,MF,3018,9.9,8.5,5,10,77,325,91,214,186,67,28,41.8% (28/67),402
Casemiro,Manchester Utd,MF,1494,1.9,2.3,1,0,4,84,22,81,20,6,3,50.0% (3/6),88
Christian Eriksen,Manchester Utd,MF,1061,1.4,3.2,0,2,13,55,31,54,85,4,0,0.0% (0/4),68
Joshua Zirkzee,Manchester Utd,"FW,MF",1402,4.8,1.5,3,1,14,44,12,26,4,35,11,31.4% (11/35),58
Kobbie Mainoo,Manchester Utd,MF,1651,0.7,1.6,0,0,22,65,14,50,7,50,23,46.0% (23/50),87
Manuel Ugarte Ribeiro,Manchester Utd,MF,1785,1.0,1.1,1,2,16,61,10,59,7,32,18,56.2% (18/32),77
Marcus Rashford,Manchester Utd,"FW,MF",978,1.7,2.1,4,1,20,21,15,13,27,39,9,23.1% (9/39),41
Mason Mount,Manchester Utd,MF,622,3.2,0.6,1,0,15,33,8,19,13,10,1,10.0% (1/10),48
Rasmus Højlund,Manchester Utd,FW,2004,5.3,1.8,4,0,28,18,16,14,8,33,9,27.3% (9/33),46
Alexander Isak,Newcastle Utd,FW,2756,20.3,4.3,19,6,83,88,41,35,16,91,42,46.2% (42/91),171
Anthony Gordon,Newcastle Utd,"FW,MF",2434,8.0,5.0,5,5,121,98,51,65,131,103,38,36.9% (38/103),219
Bruno Guimarães,Newcastle Utd,MF,3271,4.3,6.1,5,6,64,271,52,180,28,78,34,43.6% (34/78),335
Harvey Barnes,Newcastle Utd,FW,1755,7.2,4.0,9,4,93,83,26,25,47,64,24,37.5% (24/64),176
Jacob Murphy,Newcastle Utd,FW,2360,5.7,8.9,8,12,79,83,42,58,120,69,35,50.7% (35/69),162
