jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Iñigo Ruiz de Galarreta,Athletic Club,MF,30,1477,27,137,5,0,0,43,16,120,8,12,40.0,36,22,14,2
Mikel Jauregizar,Athletic Club,MF,20,2244,14,118,4,1,0,46,29,144,34,35,49.3,84,48,36,2
Mikel Vesga,Athletic Club,MF,31,988,10,64,1,0,0,14,15,66,25,16,61.0,22,15,26,0
Oihan Sancet,Athletic Club,MF,24,1620,52,90,2,0,0,16,5,77,12,13,48.0,13,8,6,0
Conor Gallagher,Atlético Madrid,MF,24,1633,24,64,2,0,0,32,20,107,9,21,30.0,45,32,23,0
Giuliano Simeone,Atlético Madrid,MF,21,1926,69,49,4,0,0,23,14,72,11,23,32.4,27,13,22,1
Koke,Atlético Madrid,MF,32,1926,22,132,4,0,0,23,20,122,8,9,47.1,46,23,29,2
Pablo Barrios,Atlético Madrid,MF,21,2330,29,142,4,1,0,28,34,131,35,21,62.5,46,26,33,9
Rodrigo De Paul,Atlético Madrid,MF,30,2106,85,231,7,0,0,19,6,128,4,7,36.4,33,26,15,3
Frenkie de Jong,Barcelona,MF,27,1143,36,120,3,0,0,14,12,57,10,7,58.8,19,11,7,1
Marc Casado,Barcelona,MF,20,1611,12,107,4,1,1,26,22,90,8,23,25.8,44,25,22,1
Pedri,Barcelona,MF,21,2879,92,360,3,0,0,10,26,254,7,6,53.8,61,34,21,1
Isco,Betis,MF,32,1547,38,152,5,0,0,23,11,71,13,21,38.2,20,13,7,0
Johnny Cardoso,Betis,MF,22,2144,19,71,4,0,0,38,48,138,29,18,61.7,55,31,64,1
Marc Roca,Betis,MF,27,906,11,59,4,0,0,16,14,51,5,13,27.8,20,14,14,2
Sergi Altimira,Betis,MF,22,1972,25,99,4,0,0,35,24,117,11,22,33.3,61,37,43,3
Damián Rodríguez,Celta Vigo,MF,21,927,8,71,3,0,0,13,7,49,0,4,0.0,14,9,13,0
Fran Beltrán,Celta Vigo,MF,25,2421,28,152,3,0,0,34,26,119,19,27,41.3,50,35,34,4
Hugo Sotelo,Celta Vigo,MF,20,1254,21,83,5,0,0,19,5,71,2,10,16.7,28,17,9,1
Ilaix Moriba,Celta Vigo,MF,21,2132,34,119,9,1,1,32,14,108,24,25,49.0,68,42,33,1
