jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Hákon Arnar Haraldsson,Lille,"MF,FW",1755,143,3.8,2.8,5,3,52,102,12.5,2,14,12.5% (2/14),154
Jonathan David,Lille,FW,2554,184,16.2,4.4,10,5,40,65,27.6,16,42,27.6% (16/42),105
Matias Fernandez-Pardo,Lille,"FW,MF",1065,85,2.9,2.8,4,2,46,26,0.0,0,11,0.0% (0/11),72
Ngal'Ayel Mukau,Lille,MF,1190,43,0.8,0.7,0,1,19,57,50.0,14,14,50.0% (14/14),76
Osame Sahraoui,Lille,"FW,MF",1293,159,2.9,3.6,3,3,69,89,0.0,0,8,0.0% (0/8),158
Rémy Cabella,Lille,"FW,MF",1011,130,4.0,2.3,1,2,45,77,27.3,3,8,27.3% (3/8),122
Alexandre Lacazette,Lyon,FW,2051,159,16.3,3.4,10,2,24,66,33.3,16,32,33.3% (16/32),90
Corentin Tolisso,Lyon,MF,2329,133,5.3,4.9,7,4,31,166,48.2,54,58,48.2% (54/58),197
Ernest Nuamah,Lyon,"FW,MF",1052,131,2.2,1.5,3,1,44,33,48.1,13,14,48.1% (13/14),77
Georges Mikautadze,Lyon,FW,1449,140,10.3,4.3,8,6,37,54,27.3,15,40,27.3% (15/40),91
Jordan Veretout,Lyon,MF,1553,60,1.9,0.6,2,0,35,99,44.4,12,15,44.4% (12/15),134
Malick Fofana,Lyon,FW,1589,205,3.8,3.7,5,4,112,45,14.3,2,12,14.3% (2/12),157
Nemanja Matić,Lyon,MF,2010,15,0.1,1.3,0,1,35,150,53.6,15,13,53.6% (15/13),185
Rayan Cherki,Lyon,"FW,MF",2041,184,5.0,11.1,8,11,106,206,33.3,4,8,33.3% (4/8),312
Saïd Benrahma,Lyon,"FW,MF",735,109,2.0,2.1,1,3,41,32,,0,0,<NA>% (0/0),73
Tanner Tessmann,Lyon,MF,1234,27,1.0,0.6,1,0,11,56,17.4,4,19,17.4% (4/19),67
Thiago Almada,Lyon,"MF,FW",951,50,2.0,2.6,1,4,38,97,33.3,1,2,33.3% (1/2),135
Adrien Rabiot,Marseille,MF,2485,174,7.3,3.8,9,4,79,168,56.7,34,26,56.7% (34/26),247
Amine Gouiri,Marseille,"FW,MF",1048,97,8.4,3.6,10,3,17,20,16.7,2,10,16.7% (2/10),37
Ismaël Bennacer,Marseille,MF,646,8,0.1,1.8,0,2,14,72,33.3,2,4,33.3% (2/4),86
Jon Rowe,Marseille,"FW,MF",807,96,3.5,4.5,3,3,30,31,33.3,7,14,33.3% (7/14),61
Mason Greenwood,Marseille,"FW,MF",2804,295,16.3,5.7,14,5,126,157,53.3,8,7,53.3% (8/7),283
Neal Maupay,Marseille,FW,1042,81,4.1,2.2,4,4,12,37,36.4,8,14,36.4% (8/14),49
Pierre Højbjerg,Marseille,MF,2664,43,3.3,3.9,2,4,36,263,53.8,21,18,53.8% (21/18),299
Aleksandr Golovin,Monaco,"MF,FW",1153,72,2.3,2.4,3,0,39,112,40.9,9,13,40.9% (9/13),151
Breel Embolo,Monaco,"FW,MF",1841,140,10.8,5.6,6,4,22,55,50.0,30,30,50.0% (30/30),77
Denis Zakaria,Monaco,MF,2144,36,5.2,1.4,4,4,27,113,60.0,18,12,60.0% (18/12),140
Eliesse Ben Seghir,Monaco,"MF,FW",1750,170,5.5,5.2,4,3,85,122,37.1,13,22,37.1% (13/22),207
Folarin Balogun,Monaco,FW,615,73,4.8,0.9,4,0,21,9,16.7,4,20,16.7% (4/20),30
George Ilenikhena,Monaco,FW,717,58,5.1,1.4,3,2,8,10,46.7,14,16,46.7% (14/16),18
Lamine Camara,Monaco,MF,2054,46,2.3,4.4,2,7,25,141,50.0,21,21,50.0% (21/21),166
Maghnes Akliouche,Monaco,"FW,MF",2406,226,9.2,7.3,4,10,127,173,17.9,5,23,17.9% (5/23),300
Mika Biereth,Monaco,FW,1228,110,11.3,4.5,12,2,14,24,38.3,18,29,38.3% (18/29),38
Soungoutou Magassa,Monaco,MF,1025,11,0.5,0.9,0,1,6,63,38.2,13,21,38.2% (13/21),69
Takumi Minamino,Monaco,"MF,FW",2231,193,8.9,6.6,6,3,51,114,38.8,19,30,38.8% (19/30),165
Akor Adams,Montpellier,FW,1075,45,4.3,1.0,3,1,11,6,50.9,28,27,50.9% (28/27),17
Andy Delort,Montpellier,FW,607,20,1.3,0.9,0,0,4,6,45.0,27,33,45.0% (27/33),10
Arnaud Nordin,Montpellier,FW,1166,111,4.1,0.9,3,1,51,23,38.7,12,19,38.7% (12/19),74
Jordan Ferri,Montpellier,MF,1773,42,0.4,0.9,0,2,19,137,46.4,13,15,46.4% (13/15),156
Joris Chotard,Montpellier,MF,1892,35,1.3,0.5,1,0,20,80,59.3,16,11,59.3% (16/11),100
Khalil Fayad,Montpellier,"MF,FW",1028,42,1.3,0.3,0,0,25,50,60.0,9,6,60.0% (9/6),75
Musa Al-Taamari,Montpellier,"FW,MF",1116,76,2.6,1.5,2,1,55,30,44.4,8,10,44.4% (8/10),85
Rabby Nzingoula,Montpellier,MF,1689,38,1.0,1.6,1,0,25,40,45.9,17,20,45.9% (17/20),65
Tanguy Coulibaly,Montpellier,"FW,MF",1485,97,3.5,1.3,3,0,48,20,45.2,19,23,45.2% (19/23),68
Téji Savanier,Montpellier,MF,2363,108,3.8,6.9,0,5,26,183,43.9,18,23,43.9% (18/23),209
Wahbi Khazri,Montpellier,"FW,MF",1118,53,2.3,2.2,1,1,24,33,27.6,8,21,27.6% (8/21),57
Douglas,Nantes,MF,2307,34,3.4,1.5,4,2,14,125,39.7,23,35,39.7% (23/35),139
Johann Lepenant,Nantes,MF,2048,62,1.4,0.9,2,1,25,89,52.6,20,18,52.6% (20/18),114
Matthis Abline,Nantes,FW,2768,169,8.5,3.8,8,2,75,48,45.7,64,76,45.7% (64/76),123
Moses Simon,Nantes,"FW,MF",2609,222,5.8,6.7,4,10,147,59,20.8,10,38,20.8% (10/38),206
Mostafa Mohamed,Nantes,FW,1252,50,5.5,0.4,5,0,11,20,53.8,57,49,53.8% (57/49),31
Pedro Chirivella,Nantes,MF,2348,25,0.5,1.8,0,2,16,170,41.7,10,14,41.7% (10/14),186
Sorba Thomas,Nantes,"FW,MF",1321,93,1.5,3.7,1,3,41,34,29.2,7,17,29.2% (7/17),75
Badredine Bouanani,Nice,"MF,FW",1099,93,2.7,2.4,2,3,47,44,11.1,2,16,11.1% (2/16),91
Baptiste Santamaria,Nice,MF,927,11,0.9,1.0,0,0,10,45,64.9,24,13,64.9% (24/13),55
Evann Guessand,Nice,"FW,MF",2565,162,9.2,5.4,12,8,87,79,41.9,26,36,41.9% (26/36),166
Gaëtan Laborde,Nice,FW,1829,131,11.7,3.5,7,4,30,40,50.5,48,47,50.5% (48/47),70
Hicham Boudaoui,Nice,MF,2435,75,2.7,3.0,2,3,54,124,32.0,16,34,32.0% (16/34),178
Jeremie Boga,Nice,"MF,FW",1054,75,2.3,2.8,1,2,64,39,42.9,3,4,42.9% (3/4),103
Mohamed Ali Cho,Nice,"FW,MF",1621,133,4.0,4.0,3,4,81,59,32.5,13,27,32.5% (13/27),140
Sofiane Diop,Nice,"MF,FW",1064,70,6.0,2.9,6,4,26,64,27.3,3,8,27.3% (3/8),90
Tanguy Ndombele,Nice,MF,1131,36,2.4,2.4,1,2,22,61,23.1,3,10,23.1% (3/10),83
Bradley Barcola,Paris S-G,FW,2181,374,13.4,10.1,14,10,137,96,66.7,14,7,66.7% (14/7),233
Désiré Doué,Paris S-G,"FW,MF",1730,232,5.1,7.8,6,6,97,139,44.4,8,10,44.4% (8/10),236
Fabián Ruiz Peña,Paris S-G,MF,1923,92,4.3,4.7,4,5,47,205,38.5,5,8,38.5% (5/8),252
Gonçalo Ramos,Paris S-G,FW,1066,63,13.6,2.2,8,3,11,24,57.1,20,15,57.1% (20/15),35
Khvicha Kvaratskhelia,Paris S-G,FW,916,131,3.3,4.9,4,3,50,43,37.5,3,5,37.5% (3/5),93
Lee Kang-in,Paris S-G,"FW,MF",1663,138,3.5,5.6,6,6,50,143,33.3,5,10,33.3% (5/10),193
Marco Asensio,Paris S-G,"FW,MF",618,49,5.6,2.7,2,4,19,36,33.3,1,2,33.3% (1/2),55
Ousmane Dembélé,Paris S-G,FW,1730,252,16.6,8.2,20,6,127,137,40.0,4,6,40.0% (4/6),264
Senny Mayulu,Paris S-G,MF,808,56,2.9,2.1,2,2,29,46,9.1,1,10,9.1% (1/10),75
Vitinha,Paris S-G,MF,2042,57,3.4,2.6,3,1,53,224,16.7,1,5,16.7% (1/5),277
Amadou Koné,Reims,MF,1293,12,0.5,0.3,0,0,19,68,50.0,22,22,50.0% (22/22),87
Junya Ito,Reims,"FW,MF",2690,256,4.6,7.1,4,3,100,133,37.8,17,28,37.8% (17/28),233
Keito Nakamura,Reims,"FW,MF",2649,197,9.1,2.9,11,2,90,82,33.3,7,14,33.3% (7/14),172
Mamadou Diakhon,Reims,"FW,MF",858,77,1.0,1.1,2,1,61,17,7.1,1,13,7.1% (1/13),78
Marshall Munetsi,Reims,MF,1692,48,4.0,2.0,4,2,8,26,46.1,41,48,46.1% (41/48),34
Oumar Diakité,Reims,FW,1628,93,5.5,1.1,4,1,24,44,29.8,25,59,29.8% (25/59),68
Teddy Teuma,Reims,MF,750,34,1.4,1.1,0,0,9,47,33.3,4,8,33.3% (4/8),56
Valentin Atangana Edoa,Reims,MF,2854,38,2.5,1.1,1,0,41,93,58.0,47,34,58.0% (47/34),134
Yaya Kader Fofana,Reims,"MF,FW",634,29,0.6,1.7,1,1,19,22,28.6,4,10,28.6% (4/10),41
Albert Grønbaek,Rennes,"MF,FW",813,58,1.5,1.0,2,1,23,30,26.7,4,11,26.7% (4/11),53
Amine Gouiri,Rennes,"MF,FW",1037,63,3.5,0.4,3,2,22,46,34.8,8,15,34.8% (8/15),68
Arnaud Kalimuendo,Rennes,"FW,MF",2578,167,14.9,2.0,12,3,50,72,27.2,22,59,27.2% (22/59),122
Azor Matusiwa,Rennes,MF,2078,26,1.2,1.8,1,3,19,134,60.9,28,18,60.9% (28/18),153
Djaoui Cissé,Rennes,MF,1121,14,0.4,0.2,1,0,16,84,23.5,4,13,23.5% (4/13),100
Glen Kamara,Rennes,MF,662,22,0.2,0.2,0,1,5,34,25.0,2,6,25.0% (2/6),39
Jordan James,Rennes,MF,1178,15,0.9,1.9,0,1,21,67,58.8,10,7,58.8% (10/7),88
Ludovic Blas,Rennes,"MF,FW",2293,184,5.0,4.6,6,8,83,116,22.9,11,37,22.9% (11/37),199
Seko Fofana,Rennes,MF,844,38,1.8,1.2,1,1,32,72,70.0,7,3,70.0% (7/3),104
Aimen Moueffek,Saint-Étienne,MF,1039,31,1.1,1.1,0,1,20,43,34.6,9,17,34.6% (9/17),63
Augustine Boakye,Saint-Étienne,"FW,MF",733,60,1.8,0.9,3,0,25,35,26.3,5,14,26.3% (5/14),60
Benjamin Bouchouari,Saint-Étienne,MF,1772,54,0.6,0.9,1,0,48,133,26.1,6,17,26.1% (6/17),181
Florian Tardieu,Saint-Étienne,MF,1252,44,0.6,1.3,2,4,11,139,63.6,14,8,63.6% (14/8),150
Ibrahim Sissoko,Saint-Étienne,FW,819,36,4.3,0.6,2,1,14,12,38.2,26,42,38.2% (26/42),26
Irvin Cardona,Saint-Étienne,FW,1063,135,4.5,1.4,5,3,30,32,55.6,10,8,55.6% (10/8),62
Louis Mouton,Saint-Étienne,MF,1045,51,1.3,1.3,0,1,18,54,31.3,5,11,31.3% (5/11),72
Lucas Stassin,Saint-Étienne,FW,1887,149,7.0,3.4,12,4,26,35,34.1,15,29,34.1% (15/29),61
Mathieu Cafaro,Saint-Étienne,"MF,FW",732,51,1.5,1.3,1,0,19,16,42.9,3,4,42.9% (3/4),35
Mathis Amougou,Saint-Étienne,MF,859,17,0.5,0.4,0,0,8,36,20.0,3,12,20.0% (3/12),44
Pierre Ekwah Elimby,Saint-Étienne,MF,2575,21,0.7,1.0,1,0,20,146,69.8,30,13,69.8% (30/13),166
Zuriko Davitashvili,Saint-Étienne,"FW,MF",2778,224,8.1,4.7,7,8,95,73,23.0,14,47,23.0% (14/47),168
Andrey Santos,Strasbourg,MF,2855,26,5.1,3.3,10,3,29,149,60.7,37,24,60.7% (37/24),178
Emanuel Emegha,Strasbourg,FW,2293,104,17.0,2.4,14,3,37,14,40.0,26,39,40.0% (26/39),51
Félix Lemaréchal,Strasbourg,"MF,FW",1779,90,3.5,2.9,4,3,35,58,35.9,14,25,35.9% (14/25),93
Habib Diarra,Strasbourg,"MF,FW",2352,114,3.3,4.5,2,5,61,116,42.9,12,16,42.9% (12/16),177
Sebastian Nanasi,Strasbourg,"MF,FW",2107,127,6.5,4.9,6,4,53,126,21.4,3,11,21.4% (3/11),179
Sekou Mara,Strasbourg,"FW,MF",768,47,2.0,1.0,1,1,9,11,45.2,19,23,45.2% (19/23),20
Cristian Cásseres Jr.,Toulouse,MF,2696,46,1.0,2.6,1,3,31,128,58.5,24,17,58.5% (24/17),159
Frank Magri,Toulouse,"FW,MF",1516,80,6.0,1.5,5,1,17,25,32.8,40,82,32.8% (40/82),42
Joshua King,Toulouse,"FW,MF",1673,108,6.6,2.0,6,3,39,29,40.7,35,51,40.7% (35/51),68
Shavy Babicka,Toulouse,"MF,FW",1186,122,3.9,1.6,4,2,36,21,29.2,7,17,29.2% (7/17),57
Vincent Sierro,Toulouse,MF,2402,27,4.2,3.6,3,1,15,147,47.0,31,35,47.0% (31/35),162
Yann Gboho,Toulouse,"MF,FW",2333,189,5.4,3.5,5,4,116,103,15.6,5,27,15.6% (5/27),219
Zakaria Aboukhlal,Toulouse,"MF,FW",1901,164,10.2,1.6,6,2,34,22,36.7,22,38,36.7% (22/38),56
Alexis Claude-Maurice,Augsburg,"MF,FW",2109,102,4.7,1.2,9,2,59,61,37.8,14,23,37.8% (14/23),120
Arne Maier,Augsburg,MF,938,56,1.5,1.5,0,0,19,44,36.4,4,7,36.4% (4/7),63
Elvis Rexhbeçaj,Augsburg,MF,1785,82,1.4,1.1,1,1,31,94,34.5,10,19,34.5% (10/19),125
Frank Onyeka,Augsburg,MF,2586,71,1.4,1.3,0,1,46,106,43.2,16,21,43.2% (16/21),152
Fredrik Jensen,Augsburg,MF,763,58,0.7,0.7,0,0,16,20,31.6,6,13,31.6% (6/13),36
Kristijan Jakić,Augsburg,MF,2306,49,0.8,1.2,0,1,24,106,53.8,35,30,53.8% (35/30),130
Mert Kömür,Augsburg,MF,654,46,1.1,1.5,2,1,18,11,37.9,11,18,37.9% (11/18),29
Phillip Tietz,Augsburg,FW,1686,113,6.1,1.2,6,2,8,29,47.9,78,85,47.9% (78/85),37
Samuel Essende,Augsburg,FW,1636,118,4.2,1.3,7,2,33,21,43.8,57,73,43.8% (57/73),54
Aleksandar Pavlovic,Bayern Munich,MF,1451,33,0.6,0.2,1,0,15,128,54.5,12,10,54.5% (12/10),143
Harry Kane,Bayern Munich,FW,2381,143,20.3,5.3,17,9,29,97,59.2,29,20,59.2% (29/20),126
Jamal Musiala,Bayern Munich,MF,1798,156,9.3,4.5,12,2,71,107,33.3,7,14,33.3% (7/14),178
Joshua Kimmich,Bayern Munich,MF,2847,77,1.8,7.4,3,7,51,362,57.1,12,9,57.1% (12/9),413
João Palhinha,Bayern Munich,MF,673,7,0.7,0.2,0,0,3,32,64.5,20,11,64.5% (20/11),35
Kingsley Coman,Bayern Munich,FW,1282,215,4.3,3.3,5,4,66,45,40.7,11,16,40.7% (11/16),111
Leroy Sané,Bayern Munich,FW,1637,266,10.2,5.5,11,5,75,64,53.8,7,6,53.8% (7/6),139
Michael Olise,Bayern Munich,"FW,MF",2334,381,9.7,12.0,12,15,119,184,47.8,11,12,47.8% (11/12),303
Serge Gnabry,Bayern Munich,"FW,MF",1242,149,7.5,5.1,7,5,44,48,28.6,4,10,28.6% (4/10),92
Thomas Müller,Bayern Munich,"MF,FW",1225,143,3.8,2.9,1,4,24,50,39.6,19,29,39.6% (19/29),74
Anthony Losilla,Bochum,MF,1137,11,0.1,0.4,0,0,3,45,55.8,29,23,55.8% (29/23),48
Dani de Wit,Bochum,"MF,FW",1153,37,2.1,0.5,2,1,5,33,46.1,41,48,46.1% (41/48),38
Giorgos Masouras,Bochum,"FW,MF",1055,82,3.9,1.1,2,1,26,19,41.9,26,36,41.9% (26/36),45
Ibrahima Sissoko,Bochum,MF,2610,69,1.7,1.6,2,1,35,105,58.5,76,54,58.5% (76/54),140
Matúš Bero,Bochum,MF,2565,111,4.0,3.7,5,2,29,143,33.8,22,43,33.8% (22/43),172
Moritz Broschinski,Bochum,"FW,MF",1390,130,4.2,1.8,1,3,37,20,42.5,31,42,42.5% (31/42),57
Myron Boadu,Bochum,FW,1042,70,7.7,1.1,8,1,12,18,48.7,19,20,48.7% (19/20),30
Philipp Hofmann,Bochum,FW,2277,112,5.5,3.3,3,3,8,53,56.6,164,126,56.6% (164/126),61
Tom Krauß,Bochum,MF,1077,20,0.4,0.7,0,0,16,84,52.9,9,8,52.9% (9/8),100
Donyell Malen,Dortmund,"FW,MF",614,75,2.9,0.2,3,0,23,17,25.0,1,3,25.0% (1/3),40
Felix Nmecha,Dortmund,MF,1509,27,1.3,1.1,4,1,21,85,53.5,23,20,53.5% (23/20),106
Jamie Gittens,Dortmund,"FW,MF",1776,180,3.6,2.5,8,3,113,42,41.7,5,7,41.7% (5/7),155
Julian Brandt,Dortmund,MF,2303,199,4.8,8.5,5,10,61,149,27.5,11,29,27.5% (11/29),210
Karim Adeyemi,Dortmund,"FW,MF",1433,153,5.5,6.0,7,6,68,28,40.9,9,13,40.9% (9/13),96
Marcel Sabitzer,Dortmund,MF,1616,70,1.8,1.6,1,0,24,97,56.7,17,13,56.7% (17/13),121
Maximilian Beier,Dortmund,"FW,MF",1591,124,7.7,3.3,8,5,24,33,53.5,23,20,53.5% (23/20),57
Serhou Guirassy,Dortmund,FW,2598,128,22.7,3.9,18,4,25,43,52.9,109,97,52.9% (109/97),68
Can Uzun,Eint Frankfurt,"MF,FW",675,45,3.0,1.1,4,1,11,42,62.5,5,3,62.5% (5/3),53
Ellyes Skhiri,Eint Frankfurt,MF,2231,27,1.4,1.4,1,2,17,105,50.0,19,19,50.0% (19/19),122
Fares Chaïbi,Eint Frankfurt,"MF,FW",1013,73,2.6,2.9,1,3,20,52,43.2,16,21,43.2% (16/21),72
Hugo Ekitike,Eint Frankfurt,FW,2563,215,21.6,6.8,14,8,93,53,46.8,52,59,46.8% (52/59),146
Hugo Larsson,Eint Frankfurt,MF,2393,33,3.1,2.1,3,1,16,121,48.1,13,14,48.1% (13/14),137
Jean Mattéo Bahoya,Eint Frankfurt,"MF,FW",921,93,1.9,1.7,2,3,24,28,65.0,13,7,65.0% (13/7),52
Mario Götze,Eint Frankfurt,"MF,FW",1542,96,2.9,3.1,3,2,29,88,23.1,3,10,23.1% (3/10),117
Omar Marmoush,Eint Frankfurt,FW,1448,125,8.8,6.2,13,9,73,50,33.3,7,14,33.3% (7/14),123
Oscar Højlund,Eint Frankfurt,MF,722,9,1.0,1.1,1,0,17,49,29.2,7,17,29.2% (7/17),66
Eren Dinkçi,Freiburg,"MF,FW",1196,71,1.1,2.2,0,3,33,35,30.0,6,14,30.0% (6/14),68
Junior Adamu,Freiburg,FW,1545,84,5.5,2.4,2,2,8,14,32.9,53,108,32.9% (53/108),22
Lucas Höler,Freiburg,"FW,MF",1867,122,7.7,2.9,6,4,21,47,56.7,80,61,56.7% (80/61),68
Maximilian Eggestein,Freiburg,MF,2845,41,2.0,1.5,2,0,34,141,51.7,60,56,51.7% (60/56),175
Merlin Röhl,Freiburg,"MF,FW",965,60,0.8,1.7,0,1,20,22,29.2,14,34,29.2% (14/34),42
Michael Gregoritsch,Freiburg,FW,639,36,1.8,0.4,2,1,6,19,47.7,31,34,47.7% (31/34),25
Nicolas Höfler,Freiburg,MF,794,3,0.2,0.1,0,0,1,30,65.1,28,15,65.1% (28/15),31
Patrick Osterhage,Freiburg,MF,2267,50,1.7,1.4,1,0,26,73,46.3,31,36,46.3% (31/36),99
Ritsu Doan,Freiburg,"FW,MF",2862,178,6.6,3.7,10,7,64,130,30.8,16,36,30.8% (16/36),194
Vincenzo Grifo,Freiburg,"FW,MF",2432,147,7.9,6.9,8,11,58,128,48.4,15,16,48.4% (15/16),186
Alassane Pléa,Gladbach,"MF,FW",1902,141,7.4,3.1,10,4,51,116,31.9,15,32,31.9% (15/32),167
Franck Honorat,Gladbach,FW,1439,124,4.5,5.3,4,7,63,45,42.9,9,12,42.9% (9/12),108
Julian Weigl,Gladbach,MF,2881,9,0.7,1.1,0,2,11,122,67.2,39,19,67.2% (39/19),133
Kevin Stöger,Gladbach,MF,1551,95,3.9,5.3,1,3,40,121,25.0,5,15,25.0% (5/15),161
Nathan N'Goumou,Gladbach,FW,828,85,1.9,1.3,2,1,30,16,34.6,9,17,34.6% (9/17),46
Philipp Sander,Gladbach,MF,1400,29,1.2,0.6,1,0,16,60,62.7,32,19,62.7% (32/19),76
Robin Hack,Gladbach,"FW,MF",2172,141,5.4,3.6,4,7,51,95,41.3,19,27,41.3% (19/27),146
Rocco Reitz,Gladbach,MF,1830,30,1.7,2.1,2,1,18,91,52.9,18,16,52.9% (18/16),109
Tim Kleindienst,Gladbach,FW,2737,145,13.6,6.2,15,7,45,63,54.8,149,123,54.8% (149/123),108
Tomáš Čvančara,Gladbach,FW,831,50,3.8,0.9,2,0,15,23,44.8,13,16,44.8% (13/16),38
Adrian Beck,Heidenheim,"MF,FW",1598,83,3.3,1.2,4,1,37,69,59.2,29,20,59.2% (29/20),106
Budu Zivzivadze,Heidenheim,FW,958,43,1.7,1.5,2,3,11,20,26.7,23,63,26.7% (23/63),31
Jan Schöppner,Heidenheim,MF,2681,48,3.9,3.4,4,3,35,107,48.7,57,60,48.7% (57/60),142
Lennard Maloney,Heidenheim,MF,760,0,0.3,0.0,0,0,1,14,57.1,16,12,57.1% (16/12),15
Léo Scienza,Heidenheim,"FW,MF",1153,90,2.0,3.7,3,3,70,30,18.8,3,13,18.8% (3/13),100
Marvin Pieringer,Heidenheim,"FW,MF",2206,115,8.9,4.0,4,4,23,59,37.1,73,124,37.1% (73/124),82
Niklas Dorsch,Heidenheim,MF,1335,21,1.0,1.1,2,2,13,57,43.8,7,9,43.8% (7/9),70
Paul Wanner,Heidenheim,"MF,FW",1771,65,3.7,1.3,2,2,28,64,40.0,12,18,40.0% (12/18),92
Sirlord Conteh,Heidenheim,"FW,MF",892,75,2.1,2.6,1,1,29,19,44.4,16,20,44.4% (16/20),48
Adam Hložek,Hoffenheim,"FW,MF",1871,102,5.6,3.5,8,4,54,68,50.6,40,39,50.6% (40/39),122
Andrej Kramarić,Hoffenheim,"MF,FW",2767,202,11.8,4.3,8,8,75,143,25.8,8,23,25.8% (8/23),218
Bazoumana Touré,Hoffenheim,"FW,MF",609,56,1.4,1.9,0,3,24,14,41.4,12,17,41.4% (12/17),38
Dennis Geiger,Hoffenheim,"MF,FW",734,21,0.2,0.5,0,0,12,37,33.3,2,4,33.3% (2/4),49
Finn Ole Becker,Hoffenheim,MF,670,7,0.1,0.3,0,1,3,45,77.8,7,2,77.8% (7/2),48
Florian Grillitsch,Hoffenheim,MF,601,4,0.2,0.2,0,0,4,44,31.8,7,15,31.8% (7/15),48
Gift Orban,Hoffenheim,FW,687,35,3.4,0.2,4,0,8,7,37.0,10,17,37.0% (10/17),15
Haris Tabakovic,Hoffenheim,FW,821,45,3.3,1.2,3,1,4,7,54.9,45,37,54.9% (45/37),11
Tom Bischof,Hoffenheim,"MF,FW",2559,102,2.2,3.6,5,2,47,138,42.4,14,19,42.4% (14/19),185
Alexander Bernhardsson,Holstein Kiel,"FW,MF",1263,72,4.1,1.3,7,2,25,33,35.8,19,34,35.8% (19/34),58
Armin Gigovic,Holstein Kiel,MF,1895,45,1.9,2.1,5,1,37,50,48.6,18,19,48.6% (18/19),87
Benedikt Pichler,Holstein Kiel,FW,785,58,2.3,1.1,1,2,18,19,56.9,41,31,56.9% (41/31),37
Jann-Fiete Arp,Holstein Kiel,"FW,MF",713,66,3.8,1.0,1,0,14,21,13.3,2,13,13.3% (2/13),35
Lewis Holtby,Holstein Kiel,MF,1238,34,0.5,1.5,0,1,14,47,40.0,8,12,40.0% (8/12),61
Magnus Knudsen,Holstein Kiel,MF,1850,25,0.7,1.3,0,1,16,54,26.3,10,28,26.3% (10/28),70
Nicolai Remberg,Holstein Kiel,MF,2417,31,1.5,0.8,0,1,25,80,62.3,86,52,62.3% (86/52),105
Phil Harres,Holstein Kiel,FW,1544,71,5.9,1.3,8,1,12,16,45.4,54,65,45.4% (54/65),28
Shuto Machino,Holstein Kiel,"FW,MF",1953,108,6.5,3.0,9,2,30,59,39.1,27,42,39.1% (27/42),89
Steven Skrzybski,Holstein Kiel,"MF,FW",1323,71,3.5,2.9,5,3,17,64,24.0,6,19,24.0% (6/19),81
Aleix García,Leverkusen,MF,1455,47,1.0,4.9,3,4,27,120,27.3,3,8,27.3% (3/8),147
Amine Adli,Leverkusen,"MF,FW",766,100,2.7,0.7,2,0,37,24,44.7,21,26,44.7% (21/26),61
Exequiel Palacios,Leverkusen,MF,1155,40,1.5,2.3,1,6,15,97,11.1,1,8,11.1% (1/8),112
Florian Wirtz,Leverkusen,"MF,FW",2351,309,9.4,7.0,8,12,131,176,20.0,9,36,20.0% (9/36),307
Granit Xhaka,Leverkusen,MF,2888,72,0.9,4.4,2,7,42,318,61.2,41,26,61.2% (41/26),360
Nathan Tella,Leverkusen,"MF,FW",1359,130,3.1,1.5,2,4,38,22,30.6,11,25,30.6% (11/25),60
Patrik Schick,Leverkusen,FW,1684,107,12.7,0.6,20,0,7,21,45.0,45,55,45.0% (45/55),28
Victor Boniface,Leverkusen,FW,1008,61,7.8,1.1,8,1,26,23,59.3,32,22,59.3% (32/22),49
Armindo Sieb,Mainz 05,"FW,MF",762,64,2.8,1.1,2,2,28,18,37.5,15,25,37.5% (15/25),46
Jonathan Burkardt,Mainz 05,FW,2109,157,14.8,3.1,16,2,32,42,19.0,20,85,19.0% (20/85),74
Kaishu Sano,Mainz 05,MF,3043,46,0.9,1.2,0,0,53,159,52.9,83,74,52.9% (83/74),212
Lee Jae-sung,Mainz 05,MF,2650,165,5.3,5.0,7,6,28,105,41.0,50,72,41.0% (50/72),133
Nadiem Amiri,Mainz 05,MF,2473,64,5.5,6.6,5,5,50,204,48.5,16,17,48.5% (16/17),254
Nelson Weiper,Mainz 05,"FW,MF",704,62,4.1,1.9,3,2,12,13,43.6,34,44,43.6% (34/44),25
Paul Nebel,Mainz 05,MF,2345,219,5.8,4.1,10,4,67,91,22.7,17,58,22.7% (17/58),158
Amadou Haidara,RB Leipzig,MF,1320,24,1.4,0.9,0,1,7,65,51.7,30,28,51.7% (30/28),72
Arthur Vermeeren,RB Leipzig,MF,1572,20,0.4,0.9,0,2,14,77,28.6,8,20,28.6% (8/20),91
Benjamin Šeško,RB Leipzig,"FW,MF",2380,141,10.0,2.1,11,5,47,46,58.8,70,49,58.8% (70/49),93
Christoph Baumgartner,RB Leipzig,MF,1610,95,4.5,1.3,2,1,37,53,51.3,41,39,51.3% (41/39),90
Kevin Kampl,RB Leipzig,MF,1593,32,0.8,1.4,1,0,21,106,18.8,3,13,18.8% (3/13),127
Loïs Openda,RB Leipzig,"FW,MF",2453,229,9.0,3.4,9,5,58,47,38.0,19,31,38.0% (19/31),105
Xavi Simons,RB Leipzig,MF,2150,185,5.1,6.3,10,6,85,140,42.2,19,26,42.2% (19/26),225
